date,code,inst,corp,indiv,foreign
20220103,000020,221700450,258504900,-920163950,439958600
20220104,000020,-2426250,290890000,-265809250,-22654500
20220105,000020,-16848800,128763600,216796550,-328711350
20220106,000020,-8321150,115294800,-30450250,-76523400
20220107,000020,-11031000,493624400,-805437350,322843950
20220110,000020,14219450,223421750,-417162600,179521400
20220111,000020,-28790100,-4204950,74041200,-41046150
20220112,000020,-19519550,-215409600,56843900,178085250
20220113,000020,-43633700,142707550,-66842800,-32231050
20220114,000020,-20034900,327189700,-520836500,213681700
20220117,000020,-3345150,-770298600,556664000,216979750
20220118,000020,11043850,-303817700,144975750,147798100
20220119,000020,-20627150,0,-77213950,97841100
20220120,000020,-5479550,-31750000,-373556850,410786400
20220121,000020,-1916100,0,221808650,-219892550
20220124,000020,-7482100,35407300,238716850,-266642050
20220125,000020,-39238700,-32723250,-360264050,432226000
20220126,000020,-31477600,0,-878294800,909772400
20220127,000020,-38368450,0,267897250,-229528800
20220128,000020,23855850,-232532200,-795662450,1004338800
20220203,000020,64877850,8929050,-863753300,789946400
20220204,000020,53408450,-8907050,181380450,-225881850
20220207,000020,-10872450,13365750,347836450,-350329750
20220208,000020,-211689650,0,448240800,-236551150
20220209,000020,816550,21872400,423513800,-446202750
20220210,000020,28195050,-22039350,614127500,-620283200
20220211,000020,-187563550,1248500,503346900,-317031850
20220214,000020,-26573850,0,-306537450,333111300
20220215,000020,27986300,1170000,38948550,-68104850
20220216,000020,48119900,97960000,-883304150,737224250
20220217,000020,-21576300,-381000,35090650,-13133350
20220218,000020,-32006700,0,-167661200,199667900
20220221,000020,-32738500,128648250,-174008700,78098950
20220222,000020,-27132100,-8750000,304418150,-268536050
20220223,000020,745500,152827600,-95547200,-58025900
20220224,000020,874700,370750000,-319520450,-52104250
20220225,000020,797250,62150000,-773764900,710817650
20220228,000020,9228250,-122754550,-247767550,361293850
20220302,000020,-18405750,8800,-1589800,19986750
20220303,000020,37888650,22471500,-146027450,85667300
20220304,000020,42478450,0,-175498100,133019650
20220307,000020,2926600,64701000,99924750,-167552350
20220308,000020,-11050,-21619200,-180803600,202433850
20220310,000020,17959500,0,-140195350,122235850
20220311,000020,-106167900,-144174400,18264750,232077550
20220314,000020,115100,50940000,202757650,-253812750
20220315,000020,496300,-5160000,-609663250,614326950
20220316,000020,5437800,149710000,-808562900,653415100
20220317,000020,-44648000,46150,1011070100,-966468250
20220318,000020,116655800,-150777350,-328164350,362285900
20220321,000020,-138132500,-39205450,742307350,-564969400
20220322,000020,-773750,0,463972100,-463198350
20220323,000020,-1623150,0,-107475650,109098800
20220324,000020,14944850,0,146606450,-161551300
20220325,000020,-14950800,102200700,-202500000,115250100
20220328,000020,-1227500,13800,505804150,-504590450
20220329,000020,-8417200,-973000,12003550,-2613350
20220330,000020,-16690150,0,-380366500,397056650
20220331,000020,-3541700,7826500,294732150,-299016950
20220401,000020,-38148950,0,130713550,-92564600
