date,us_sp500,us_nasdaq,us_dow,us_sox,us_vix_chg,us_vix_level,fx_krw,kr_vol20,kr_breadth5,kr_ret5,flow_foreign,flow_inst,flow_indiv,result_c2c,result_o2c,result_breadth,us_tnx_level,us_tnx_chg
20220103,-0.2626,-0.6136,-0.1642,-0.1485,-0.6347,17.22,0.5255,0.6744,53.94,2.6503,-9.3297,-40.9441,49.7263,0.9134,0.4341,60.03,0.151,-0.198
20220104,0.6374,1.2006,0.6791,2.0539,-3.6005,16.6,-0.1773,0.5916,54.62,2.9439,3.57,-50.2373,46.1927,0.7619,0.4687,54.59,0.163,7.672
20220105,-0.063,-1.3269,0.5866,-0.4524,1.8675,16.91,0.5809,0.6012,56.13,3.5131,-5.1225,-44.6904,50.187,-0.9823,-1.0295,26.66,0.167,2.457
20220106,-1.9393,-3.3448,-1.0667,-3.221,16.6765,19.73,0.1523,0.6525,51.05,2.2403,13.5862,-49.9188,36.495,-1.5583,-0.1778,21.31,0.171,2.2182
20220107,-0.0964,-0.1279,-0.4687,0.7518,-0.6082,19.61,0.2298,0.7577,42.89,-0.2998,5.1838,-50.3778,44.4384,1.4785,1.1343,75.15,0.173,1.6422
20220110,-0.405,-0.9612,-0.0133,-2.8836,-4.3345,18.76,0.5445,0.7734,47.55,0.6132,50.5061,-34.7328,-14.7611,-1.0742,-1.0666,25.05,0.177,2.1927
20220111,-0.1441,0.0464,-0.4493,0.2389,3.4115,19.4,-0.7381,0.8163,40.55,-1.3744,-8.689,-41.3698,49.9412,-1.4251,-1.3263,18.96,0.178,0.5082
20220112,0.916,1.4095,0.5078,1.8408,-5.1031,18.41,0.1011,0.8797,33.43,-3.5615,49.4466,-43.8587,-6.6946,1.7148,1.2184,79.5,0.175,-1.9101
20220113,0.2818,0.2306,0.1057,0.665,-4.2911,17.62,-0.7228,0.948,43.99,-0.8644,19.3615,30.6361,-50.0025,-0.1227,-0.3599,38.91,0.173,-1.2028
20220114,-1.4244,-2.5123,-0.4869,-2.2908,15.2667,20.31,-0.2985,0.9474,47.52,0.5712,18.8006,-52.1908,29.0085,-0.6819,0.0293,26.27,0.171,-0.8116
20220117,0.082,0.5872,-0.5588,2.3288,-5.5145,19.19,0.0616,0.9626,37.74,-1.5892,-16.6673,-34.2058,49.1269,-1.6142,-1.56,18.65,0.177,3.5652
20220118,,,,,,19.19,0.198,1.0303,36.46,-2.1292,-50.4501,18.9406,30.6094,-1.6005,-1.505,17.76,0.177,
20220119,-1.8388,-2.5974,-1.513,-4.4447,18.7598,22.79,0.0925,1.029,36.22,-2.3046,-0.5123,-51.5051,47.9826,-1.001,0.2375,24.46,0.187,5.2483
20220120,-0.969,-1.1487,-0.9608,-3.0867,4.6512,23.85,0.2454,1.0487,25.21,-5.0203,30.988,-50.9543,18.0578,1.7726,1.9116,81.17,0.183,-2.0375
20220121,-1.1037,-1.2987,-0.8943,-3.2512,7.2956,25.59,-0.404,1.1152,33.66,-3.125,-27.0319,48.1584,-24.8097,-0.9688,-0.3508,24.83,0.183,0.3284
20220124,-1.8915,-2.7208,-1.2963,-1.7157,12.7394,28.85,0.3594,1.1289,33.37,-3.4118,-20.4444,-28.8623,50.6933,-2.962,-2.2403,10.38,0.175,-4.6918
