date,code,name,open,high,low,close,volume
20210104,000150,두산,52500.0,52700.0,51000.0,52000.0,126798
20210104,000270,기아,62400.0,64800.0,61700.0,64000.0,5602314
20210104,000500,가온전선,10044.0,10182.0,9884.0,10113.0,41291
20210104,000660,SK하이닉스,124500.0,128000.0,120500.0,126000.0,7995016
20210104,000720,현대건설,37021.0,37362.0,36535.0,37216.0,1485829
20210104,000990,DB하이텍,52200.0,53300.0,50500.0,51100.0,2271924
20210104,001440,대한전선,11844.0,12233.0,11541.0,11973.0,902863
20210104,001820,삼화콘덴서,66900.0,69900.0,66000.0,69200.0,598064
20210104,003160,디아이,4780.0,4865.0,4695.0,4855.0,690106
20210104,003350,한국화장품제조,7410.0,7420.0,7220.0,7400.0,65069
20210104,003490,대한항공,21284.0,22021.0,21013.0,21439.0,5616707
20210104,004020,현대제철,40050.0,41300.0,39300.0,41200.0,1837076
20210104,004310,현대약품,7970.0,8340.0,7860.0,8150.0,8042609
20210104,004710,한솔테크닉스,10000.0,10098.0,9763.0,10098.0,913991
20210104,005380,현대차,194000.0,211000.0,193500.0,207500.0,5651695
20210104,005930,삼성전자,81000.0,84400.0,80200.0,83000.0,38655276
20210104,005935,삼성전자우,73700.0,75300.0,73600.0,74400.0,5455139
20210104,006340,대원전선,1140.0,1400.0,1130.0,1400.0,26904631
20210104,006360,GS건설,38300.0,38300.0,37250.0,38050.0,976774
20210104,006400,삼성SDI,646161.0,667700.0,626581.0,656931.0,709615
20210104,006800,미래에셋증권,9409.0,9478.0,9210.0,9458.0,2356605
20210104,007610,선도전기,5033.0,5325.0,4975.0,5258.0,396070
20210104,007660,이수페타시스,3495.0,3512.0,3430.0,3464.0,580544
20210104,007810,코리아써키트,14950.0,15250.0,14900.0,15100.0,678734
20210104,009150,삼성전기,178000.0,182000.0,177000.0,180000.0,853121
20210104,009540,HD한국조선해양,109000.0,111000.0,107500.0,110000.0,444271
20210104,009830,한화솔루션,55322.0,56520.0,53896.0,56121.0,3850989
20210104,010120,LS ELECTRIC,12660.0,13080.0,12520.0,13000.0,1500824
20210104,010140,삼성중공업,6692.0,6890.0,6588.0,6890.0,19724304
20210104,010170,대한광통신,3326.0,3360.0,3283.0,3347.0,1301701
20210104,010950,S-Oil,69700.0,70900.0,68900.0,70300.0,622220
20210104,011070,LG이노텍,185500.0,196500.0,185000.0,192500.0,464216
20210104,011200,HMM,14900.0,16750.0,14250.0,16550.0,38614102
20210104,012330,현대모비스,260500.0,308500.0,260000.0,287000.0,1811364
20210104,012450,한화에어로스페이스,29439.0,30457.0,29031.0,30356.0,892112
20210104,017670,SK텔레콤,41149.0,41322.0,40545.0,40891.0,2488593
20210104,017900,광전자,2365.0,2370.0,2305.0,2330.0,250016
20210104,024060,흥구석유,7300.0,7490.0,7100.0,7320.0,448832
20210104,024840,KBI메탈,1810.0,1845.0,1795.0,1815.0,360787
20210104,028050,삼성E&A,13350.0,13550.0,13150.0,13500.0,2490548
20210104,028260,삼성물산,138500.0,145000.0,137000.0,144000.0,1369767
20210104,028300,HLB,43514.0,43514.0,41853.0,41898.0,1539295
20210104,028670,팬오션,5150.0,5450.0,5050.0,5370.0,12120901
20210104,030000,제일기획,20450.0,20450.0,20100.0,20250.0,455072
20210104,030530,원익홀딩스,6390.0,6410.0,6160.0,6270.0,1135663
20210104,031980,피에스케이홀딩스,8500.0,8550.0,8360.0,8470.0,31825
20210104,032640,LG유플러스,11800.0,11900.0,11650.0,11850.0,3569931
20210104,032820,우리기술,1320.0,1345.0,1280.0,1345.0,2768949
20210104,032830,삼성생명,77800.0,78900.0,77000.0,78000.0,1077102
20210104,032940,원익,4800.0,4840.0,4635.0,4790.0,232449
20210104,034020,두산에너빌리티,13126.0,13464.0,12981.0,13416.0,3758592
20210104,034220,LG디스플레이,17423.0,17839.0,17423.0,17608.0,5767196
20210104,034730,SK,241000.0,250000.0,240000.0,249500.0,561491
20210104,035420,NAVER,291500.0,294000.0,285500.0,293000.0,947178
20210104,035720,카카오,78681.0,79584.0,77376.0,79483.0,4253451
20210104,036540,SFA반도체,5930.0,6030.0,5810.0,5960.0,9263019
20210104,039030,이오테크닉스,118000.0,119100.0,115800.0,117900.0,186967
20210104,041190,우리기술투자,5350.0,5450.0,5060.0,5140.0,15704465
20210104,042370,비츠로테크,9290.0,9550.0,9200.0,9530.0,674515
20210104,042510,라온시큐어,17534.0,18059.0,17534.0,17859.0,143345
20210104,042700,한미반도체,9175.0,9300.0,9000.0,9125.0,1262386
20210104,043260,성호전자,1540.0,1570.0,1500.0,1550.0,952584
20210104,046970,우리로,1651.0,1676.0,1641.0,1676.0,285886
20210104,047040,대우건설,5250.0,5270.0,5060.0,5150.0,9249864
20210104,049080,기가레인,31250.0,31750.0,29900.0,30500.0,344089
20210104,050890,쏠리드,10945.0,11042.0,10847.0,11042.0,1396812
20210104,051160,지어소프트,14350.0,14600.0,14050.0,14150.0,623819
20210104,052690,한전기술,18000.0,18150.0,17700.0,18100.0,218242
20210104,052710,아모텍,23024.0,23471.0,22726.0,23292.0,348334
