date,ticker,kr_open,kr_mid,kr_close,kr_session_chg,bars
20260101,ES=F,6915.5,,6893.75,-0.3145,7
20260101,NQ=F,25555.0,,25434.75,-0.4706,7
20260102,ES=F,6924.5,,6924.5,0.0,1
20260102,NQ=F,25639.0,,25639.0,0.0,1
20260103,ES=F,6884.0,,6900.0,0.2324,7
20260103,NQ=F,25375.0,,25385.25,0.0404,7
20260105,ES=F,6908.0,6907.5,6912.25,0.0615,7
20260105,NQ=F,25466.75,25464.0,25495.25,0.1119,7
20260106,ES=F,6941.25,6951.0,6953.0,0.1693,14
20260106,NQ=F,25563.25,25620.25,25642.75,0.311,14
20260107,ES=F,6988.75,6986.25,6984.25,-0.0644,14
20260107,NQ=F,25829.5,25799.5,25783.5,-0.1781,14
20260108,ES=F,6968.5,6954.75,6946.0,-0.3229,14
20260108,NQ=F,25842.5,25776.75,25738.25,-0.4034,14
20260109,ES=F,6961.5,6960.75,6963.0,0.0215,14
20260109,NQ=F,25666.0,25674.5,25693.5,0.1071,14
20260110,ES=F,6983.75,,7005.0,0.3043,7
20260110,NQ=F,25812.25,,25938.25,0.4881,7
20260112,ES=F,6979.25,6967.75,6962.5,-0.24,7
20260112,NQ=F,25789.5,25737.75,25698.75,-0.3519,7
20260113,ES=F,7002.25,7007.0,7009.75,0.1071,14
20260113,NQ=F,25875.25,25882.25,25901.5,0.1014,14
20260114,ES=F,6999.5,6998.5,6986.25,-0.1893,14
20260114,NQ=F,25907.25,25915.0,25856.25,-0.1969,14
20260115,ES=F,6958.25,6956.75,6963.25,0.0719,14
20260115,NQ=F,25603.25,25581.5,25622.75,0.0762,14
20260116,ES=F,6992.0,6998.25,7001.25,0.1323,14
20260116,NQ=F,25760.75,25786.5,25807.75,0.1824,14
20260117,ES=F,6978.25,,6976.75,-0.0215,7
20260117,NQ=F,25680.5,,25681.25,0.0029,7
20260119,ES=F,6916.25,,6916.25,0.0,1
20260119,NQ=F,25385.0,,25385.0,0.0,1
20260120,ES=F,6904.75,,6904.75,0.0,1
20260120,NQ=F,25383.5,,25383.5,0.0,1
20260121,ES=F,6843.75,6848.75,6852.75,0.1315,14
20260121,NQ=F,25179.0,25197.5,25220.25,0.1638,14
20260122,ES=F,6927.0,6932.25,6921.0,-0.0866,14
20260122,NQ=F,25558.5,25589.5,25534.25,-0.0949,14
20260123,ES=F,6949.5,6956.5,6960.5,0.1583,14
20260123,NQ=F,25654.25,25695.75,25713.5,0.231,14
20260124,ES=F,6958.75,,6933.75,-0.3593,7
20260124,NQ=F,25826.5,,25680.5,-0.5653,7
20260126,ES=F,6919.5,6927.0,6933.25,0.1987,7
20260126,NQ=F,25582.0,25634.75,25674.0,0.3596,7
20260127,ES=F,6983.5,6998.25,7002.75,0.2756,14
20260127,NQ=F,25898.75,25975.5,26008.25,0.4228,14
20260128,ES=F,7024.5,7024.25,7031.75,0.1032,14
20260128,NQ=F,26206.0,26199.0,26245.5,0.1507,14
20260129,ES=F,6999.0,7008.75,7017.75,0.2679,14
20260129,NQ=F,26163.0,26198.75,26234.25,0.2723,14
20260130,ES=F,6977.0,6966.25,6956.5,-0.2938,14
20260130,NQ=F,25930.0,25847.0,25833.0,-0.3741,14
20260131,ES=F,6975.5,,6975.5,0.0,1
20260131,NQ=F,25859.25,,25859.25,0.0,1
20260203,ES=F,7018.25,7017.25,7021.25,0.0427,11
20260203,NQ=F,25953.0,25956.5,25986.25,0.1281,11
20260204,ES=F,6934.0,6946.75,6948.75,0.2127,14
20260204,NQ=F,25376.5,25433.25,25443.0,0.2621,14
20260205,ES=F,6924.5,6891.0,6900.25,-0.3502,14
20260205,NQ=F,25107.25,24947.5,24996.75,-0.4401,15
20260206,ES=F,6782.5,6801.25,6810.25,0.4091,14
20260206,NQ=F,24400.0,24528.25,24582.75,0.749,14
20260207,ES=F,6898.25,,6952.75,0.7901,7
20260207,NQ=F,24878.0,,25107.75,0.9235,7
20260209,ES=F,6969.75,6957.25,6963.0,-0.0968,7
20260209,NQ=F,25262.75,25189.25,25215.25,-0.188,7
20260210,ES=F,6978.25,6976.75,6984.75,0.0931,14
20260210,NQ=F,25335.25,25300.25,25351.75,0.0651,14
20260211,ES=F,6977.75,6985.25,6976.25,-0.0215,14
20260211,NQ=F,25290.5,25337.75,25287.5,-0.0119,14
20260212,ES=F,6963.5,6977.25,6982.25,0.2693,14
20260212,NQ=F,25265.25,25310.0,25337.0,0.284,14
20260213,ES=F,6844.75,6847.0,6838.0,-0.0986,14
20260213,NQ=F,24731.25,24750.25,24712.5,-0.0758,14
20260214,ES=F,6860.0,,6845.25,-0.215,7
20260214,NQ=F,24810.25,,24773.5,-0.1481,7
20260216,ES=F,6862.75,6862.0,6861.75,-0.0146,6
20260216,NQ=F,24834.25,24823.5,24826.0,-0.0332,6
20260217,ES=F,6813.5,,6813.5,0.0,1
20260217,NQ=F,24582.75,,24582.75,0.0,1
20260218,ES=F,6852.5,6866.25,6873.5,0.3065,14
20260218,NQ=F,24727.0,24794.25,24825.5,0.3983,14
