date,code,market_cap,volume,trade_value,shares
20220103,000020,417575476500,255857,3780367150,27931470
20220104,000020,416178903000,235805,3507058650,27931470
20220105,000020,406402888500,308187,4502918650,27931470
20220106,000020,398023447500,303389,4353750400,27931470
20220107,000020,407799462000,158132,2288627950,27931470
20220110,000020,407799462000,138462,2003720950,27931470
20220111,000020,400816594500,245241,3554508450,27931470
20220112,000020,400816594500,191616,2763958900,27931470
20220113,000020,393833727000,194975,2776877950,27931470
20220114,000020,386850859500,265414,3680989700,27931470
20220117,000020,372885124500,332838,4487462150,27931470
20220118,000020,364505683500,346408,4531016650,27931470
20220119,000020,351936522000,246837,3141482600,27931470
20220120,000020,357522816000,182269,2317679500,27931470
20220121,000020,357522816000,115914,1488976200,27931470
20220124,000020,350539948500,225803,2850890900,27931470
20220125,000020,326798199000,436923,5220200700,27931470
20220126,000020,332384493000,349961,4170368300,27931470
20220127,000020,314229037500,280213,3227677400,27931470
20220128,000020,326798199000,258177,2968617300,27931470
20220203,000020,343557081000,257095,3148050250,27931470
20220204,000020,347746801500,135513,1670455800,27931470
20220207,000020,354729669000,193826,2421181900,27931470
20220208,000020,343557081000,193823,2410059500,27931470
20220209,000020,367298830500,1061879,13917768900,27931470
20220210,000020,368695404000,571633,7592616250,27931470
20220211,000020,346350228000,353159,4473177750,27931470
20220214,000020,330987919500,312245,3734852300,27931470
20220215,000020,333781066500,577946,7006099050,27931470
20220216,000020,347746801500,237247,2943871000,27931470
20220217,000020,347746801500,392136,4901812500,27931470
20220218,000020,346350228000,153515,1903255100,27931470
20220221,000020,360315963000,536897,6856235150,27931470
20220222,000020,356126242500,208419,2656164550,27931470
20220223,000020,353333095500,175395,2244119600,27931470
20220224,000020,339367360500,233193,2886861700,27931470
20220225,000020,347746801500,234491,2898169350,27931470
20220228,000020,353333095500,128937,1615750200,27931470
20220302,000020,357522816000,136796,1746174250,27931470
20220303,000020,360315963000,208456,2694621250,27931470
20220304,000020,361712536500,142363,1835205150,27931470
20220307,000020,360315963000,194201,2520902900,27931470
20220308,000020,358919389500,134721,1729373500,27931470
20220310,000020,360315963000,122680,1584669500,27931470
20220311,000020,358919389500,102478,1320972950,27931470
20220314,000020,350539948500,124246,1568014350,27931470
20220315,000020,358919389500,170854,2168993650,27931470
20220316,000020,367298830500,258748,3395477350,27931470
20220317,000020,378471418500,1299712,17859218050,27931470
20220318,000020,400816594500,2738024,39845431600,27931470
20220321,000020,386850859500,529387,7511866250,27931470
20220322,000020,381264565500,441213,6076884400,27931470
20220323,000020,381264565500,396150,5479756600,27931470
20220324,000020,379867992000,164839,2237216550,27931470
20220325,000020,388247433000,248995,3420874550,27931470
20220328,000020,384057712500,160036,2199989250,27931470
20220329,000020,384057712500,160334,2217001550,27931470
20220330,000020,388247433000,365447,5121033250,27931470
20220331,000020,381264565500,214548,2950613450,27931470
20220401,000020,374281698000,156326,2103613050,27931470
20220404,000020,372885124500,125469,1676740200,27931470
20220405,000020,371488551000,85097,1135477500,27931470
20220406,000020,367298830500,143518,1893764250,27931470
20220407,000020,367298830500,104263,1375459800,27931470
20220408,000020,367298830500,133040,1764664300,27931470
20220411,000020,364505683500,71330,935213700,27931470
20220412,000020,357522816000,120106,1540827800,27931470
20220413,000020,361712536500,94418,1213970650,27931470
20220414,000020,368695404000,85158,1116070050,27931470
20220415,000020,370091977500,78223,1031873600,27931470
20220418,000020,368695404000,64157,843289850,27931470
20220419,000020,368695404000,74234,980829400,27931470
20220420,000020,364505683500,95548,1250629050,27931470
20220421,000020,361712536500,116780,1514072800,27931470
20220422,000020,360315963000,65285,839334850,27931470
20220425,000020,349143375000,124512,1562116450,27931470
20220426,000020,351936522000,68450,861909450,27931470
20220427,000020,346350228000,107229,1329019050,27931470
20220428,000020,351936522000,107959,1346256100,27931470
20220429,000020,354729669000,77443,980492950,27931470
20220502,000020,351936522000,49070,617471100,27931470
20220503,000020,354729669000,66325,839736100,27931470
20220504,000020,349143375000,96316,1206998050,27931470
20220506,000020,340763934000,123803,1517268450,27931470
20220509,000020,328194772500,208512,2462321650,27931470
20220510,000020,326798199000,156931,1800222150,27931470
20220511,000020,332384493000,62010,733142850,27931470
20220512,000020,319815331500,108801,1259306250,27931470
20220513,000020,328194772500,68427,794322650,27931470
20220516,000020,330987919500,76716,913024800,27931470
20220517,000020,332384493000,69867,832464700,27931470
20220518,000020,335177640000,207503,2488880450,27931470
20220519,000020,332384493000,93821,1103460700,27931470
20220520,000020,330987919500,93735,1115662950,27931470
20220523,000020,337970787000,144887,1744389350,27931470
20220524,000020,330987919500,85789,1022003200,27931470
20220525,000020,329591346000,79303,939885000,27931470
20220526,000020,330987919500,73542,876100150,27931470
20220527,000020,330987919500,111027,1318303750,27931470
20220530,000020,336574213500,96191,1159286750,27931470
20220531,000020,332384493000,293055,3492355350,27931470
20220602,000020,332384493000,88269,1049959600,27931470
20220603,000020,332384493000,108082,1286324750,27931470
20220607,000020,322608478500,142627,1661565950,27931470
20220608,000020,321211905000,96891,1115541450,27931470
20220609,000020,317022184500,172607,1954904850,27931470
20220610,000020,308642743500,254647,2825603500,27931470
20220613,000020,291883861500,256505,2707344500,27931470
20220614,000020,282107847000,377474,3823603450,27931470
20220615,000020,278197441200,230500,2300124430,27931470
20220616,000020,268142112000,217002,2143960500,27931470
20220617,000020,276242238300,244117,2358527710,27931470
20220620,000020,262835132700,179414,1712422350,27931470
20220621,000020,267304167900,92162,874640310,27931470
20220622,000020,269538685500,191631,1858620110,27931470
20220623,000020,252779803500,216840,2017857910,27931470
20220624,000020,261159244500,162314,1494464500,27931470
20220627,000020,270097314900,97256,941778880,27931470
20220628,000020,274287035400,70950,690616230,27931470
20220629,000020,274845664800,70209,686612180,27931470
20220630,000020,270655944300,94044,918916220,27931470
20220701,000020,267862797300,67088,644362180,27931470
20220704,000020,261438559200,73456,690091670,27931470
20220705,000020,275124979500,96705,943145940,27931470
20220706,000020,289090714500,325324,3383758660,27931470
20220707,000020,293280435000,113871,1187106300,27931470
20220708,000020,293280435000,85747,902724300,27931470
20220711,000020,304453023000,184120,2003589500,27931470
20220712,000020,305849596500,253957,2809743050,27931470
20220713,000020,305849596500,263215,2876049600,27931470
20220714,000020,305849596500,126540,1375317800,27931470
20220715,000020,307246170000,252862,2775031300,27931470
20220718,000020,307246170000,215412,2375714600,27931470
20220719,000020,310039317000,295736,3304068400,27931470
20220720,000020,311435890500,146127,1633767300,27931470
20220721,000020,308642743500,122754,1364495100,27931470
20220722,000020,301659876000,136286,1485553800,27931470
20220725,000020,300263302500,195984,2116043300,27931470
20220726,000020,300263302500,62601,672714000,27931470
