date,us_sp500,us_nasdaq,us_dow,us_sox,us_vix_chg,us_vix_level,fx_krw,kr_vol20,kr_breadth5,kr_ret5,flow_foreign,flow_inst,flow_indiv,result_c2c,result_o2c,result_breadth,us_tnx_level,us_tnx_chg
20240102,-0.2826,-0.5551,-0.0545,-0.7891,-0.1604,12.45,1.2279,0.6404,44.96,0.4058,26.9451,23.3659,-49.689,1.2912,1.1328,65.04,0.387,0.4156
20240103,-0.5661,-1.6348,0.0677,-3.6506,6.0241,13.2,0.0008,0.6673,52.14,2.0894,40.0463,10.6484,-49.3053,-0.154,0.2894,36.82,0.395,2.0693
20240104,-0.8016,-1.1766,-0.7553,-2.034,6.3636,14.04,1.0885,0.6685,51.52,2.0687,-4.9806,-44.7353,50.2841,-0.7462,-0.6184,27.91,0.391,-0.9883
20240105,-0.3428,-0.5613,0.0271,-0.8211,0.641,14.13,0.1461,0.7005,50.93,1.9717,1.2975,-49.9122,48.7903,0.3137,0.1468,45.96,0.399,2.15
20240108,0.1826,0.0949,0.0688,0.6304,-5.5202,13.35,0.1313,0.6501,49.47,1.9284,15.1346,-50.3661,34.4993,0.4766,0.1216,47.09,0.404,1.2779
20240109,1.4115,2.2012,0.5789,3.2793,-2.0225,13.08,0.1434,0.6325,44.56,1.1813,15.6425,-48.7372,35.6203,1.0198,0.3882,66.83,0.4,-0.9896
20240110,-0.1478,0.0939,-0.4189,0.0534,-2.4465,12.76,-0.1013,0.6303,44.92,0.9099,44.7555,11.6825,-43.562,-0.5251,-0.7353,31.79,0.402,0.4248
20240111,0.5666,0.7534,0.4545,-0.389,-0.5486,12.69,0.6091,0.6309,43.92,0.5387,-20.7076,-19.712,59.5804,0.6696,0.2858,54.13,0.403,0.2737
20240112,-0.0671,0.0036,0.0406,0.4707,-1.9701,12.44,-0.1735,0.6353,49.16,1.9545,40.2671,-50.1687,9.5642,-1.2973,-1.3342,21.96,0.398,-1.3151
20240115,0.0751,0.0172,-0.313,-0.3803,2.09,12.7,-0.4182,0.7188,44.36,0.3436,-23.9713,-25.8077,50.2211,-0.2796,-0.2673,33.85,0.395,-0.6789
20240116,,,,,,12.7,0.0655,0.6847,41.71,-0.4127,-41.5358,4.5319,53.9323,-0.7053,-0.5505,25.34,0.395,
20240117,-0.3731,-0.1897,-0.6168,1.3204,8.9764,13.84,0.5225,0.7081,33.42,-2.1377,-16.8701,-32.5031,50.6268,-2.3834,-2.4741,9.57,0.407,2.9367
20240118,-0.5617,-0.5937,-0.2528,-0.8765,6.8642,14.79,1.37,0.894,28.97,-3.996,-51.2896,-0.0531,48.6573,0.8441,0.8876,55.44,0.411,0.9838
