date,code,inst,corp,indiv,foreign
20230102,000020,8542270,126703580,-385725820,250479970
20230103,000020,71985730,94676250,210766510,-377428490
20230104,000020,-3936760,186600,-159664390,163414550
20230105,000020,-11051940,0,-142550210,153602150
20230106,000020,-19816640,2808000,65722630,-48713990
20230109,000020,-71749010,7818230,-77966230,141897010
20230110,000020,-52783090,10405840,308660390,-266283140
20230111,000020,511740,-138694500,-78487400,216670160
20230112,000020,-441770,-45938050,163915700,-117535880
20230113,000020,1128310,-116619050,178595070,-63104330
20230116,000020,35704360,114956410,-171734540,21073770
20230117,000020,9590180,930000,116283880,-126804060
20230118,000020,-13962130,33671580,142021450,-161730900
20230119,000020,49624970,-191746370,11175640,130945760
20230120,000020,74541810,9200,-84368260,9817250
20230125,000020,-22969590,0,-31276500,54246090
20230126,000020,-92670,0,43092660,-42999990
20230127,000020,61647800,0,-101154090,39506290
20230130,000020,18421660,-5122660,-38161710,24862710
20230131,000020,-6505250,28366430,-63577620,41716440
20230201,000020,63449250,938000,-63047900,-1339350
20230202,000020,18369270,56500580,-412218770,337348920
20230203,000020,19873390,0,-48483000,28609610
20230206,000020,164116860,49723380,-220786500,6946260
20230207,000020,1414570,19110,-65429130,63995450
20230208,000020,-15291180,-5191790,92684350,-72201380
20230209,000020,100667070,0,-190962210,90295140
20230210,000020,129050040,5268460,44417900,-178736400
20230213,000020,265712550,0,-240594440,-25118110
20230214,000020,173601490,471000,-24801860,-149270630
20230215,000020,162872140,9270,50716980,-213598390
20230216,000020,-25843670,-9310,113071790,-87218810
20230217,000020,11408580,74060000,44538000,-130006580
20230220,000020,-717700,20327010,-146412870,126803560
20230221,000020,-14001170,0,113919370,-99918200
20230222,000020,-21273830,68508600,137601390,-184836160
20230223,000020,5394360,83226320,-175644460,87023780
20230224,000020,363590,5295400,165681280,-171340270
20230227,000020,41372440,74490570,-13867410,-101995600
20230228,000020,-216470,12529980,99453330,-111766840
20230302,000020,-3436550,27194470,82105000,-105862920
20230303,000020,549490,27119170,54528530,-82197190
20230306,000020,76421050,0,87955580,-164376630
20230307,000020,3536150,14917340,-105127520,86674030
20230308,000020,117880,147241820,-96031930,-51327770
20230309,000020,-77279770,0,210615850,-133336080
20230310,000020,-123400730,19957600,406842140,-303399010
20230313,000020,-161620910,101386730,104341250,-44107070
20230314,000020,86315150,-5751900,-25312130,-55251120
20230315,000020,5758490,50502680,2015100,-58276270
20230316,000020,58140,20653800,836720,-21548660
20230317,000020,-29336410,0,-40087770,69424180
20230320,000020,-30151350,15246970,-54803550,69707930
20230321,000020,29875690,0,18857390,-48733080
20230322,000020,-2158850,0,208948440,-206789590
20230323,000020,17741370,164800,188384610,-206290780
20230324,000020,-14757470,0,215311280,-200553810
20230327,000020,-7633440,936590,169461390,-162764540
20230328,000020,-43058490,20262280,3129810,19666400
20230329,000020,17863580,0,73813160,-91676740
20230330,000020,-114370930,0,129271160,-14900230
20230331,000020,-26736670,43449990,-52384230,35670910
20230403,000020,-54533910,1006760,35550250,17976900
20230404,000020,3125110,59363670,-304035830,241547050
20230405,000020,9371840,31531060,-247691690,206788790
20230406,000020,792130,0,72314090,-73106220
20230407,000020,-18229400,36195030,75080070,-93045700
20230410,000020,-1987600,85339680,28027220,-111379300
20230411,000020,-10737340,7396000,-112253190,115594530
20230412,000020,-3919530,35114480,-167961510,136766560
20230413,000020,-17159760,0,-18768950,35928710
20230414,000020,7137380,75027350,-380197890,298033160
20230417,000020,-2442140,8680000,149056200,-155294060
20230418,000020,-3165470,17180000,58046330,-72060860
20230419,000020,-4379810,48807480,8558590,-52986260
20230420,000020,-33861290,-2945100,236694040,-199887650
20230421,000020,-895710,72287210,-16091750,-55299750
20230424,000020,-4566140,36494290,30039850,-61968000
20230425,000020,459770,0,53282630,-53742400
20230426,000020,-462650,102279780,123839590,-225656720
20230427,000020,-8723220,16780000,-45790270,37733490
20230428,000020,-140661860,0,210224750,-69562890
20230502,000020,-3070360,0,-120285610,123355970
20230503,000020,-3232910,105301230,-92970220,-9098100
20230504,000020,-2909840,0,-230211450,233121290
20230508,000020,1398470,90415480,-32402570,-59411380
20230509,000020,-51700,86666180,-263928630,177314150
20230510,000020,-3828620,23150890,-17665010,-1657260
20230511,000020,-95710,7969550,53190790,-61064630
20230512,000020,65415990,0,30711140,-96127130
20230515,000020,-3760830,24988810,-22578730,1350750
20230516,000020,105820510,162948430,-613298360,344529420
20230517,000020,25335890,100610530,-117941800,-8004620
20230518,000020,257280460,119674900,-502594170,125638810
20230519,000020,132516630,47124340,-43200630,-136440340
20230522,000020,128256060,0,-294917720,166661660
20230523,000020,859265700,-62129060,-1900939130,1103802490
20230524,000020,417355630,-106703830,-23202280,-287449520
20230525,000020,785947290,42130910,-935031660,106953460
20230526,000020,1024220,-25728750,-27649660,52354190
20230530,000020,-184925990,-50273000,-112728420,347927410
20230531,000020,-213166920,-23910130,-19344750,256421800
20230601,000020,244326590,-122528390,-307551600,185753400
20230602,000020,8138890,-52752550,286183070,-241569410
20230605,000020,355389670,-29199420,-224834440,-101355810
20230607,000020,-200506620,-70200000,344308750,-73602130
20230608,000020,351774980,-25585230,-183637910,-142551840
20230609,000020,246726500,-55431800,7925560,-199220260
20230612,000020,226419060,-95559300,-231507270,100647510
20230613,000020,523184110,-8040150,-235946020,-279197940
20230614,000020,295005110,0,-82616750,-212388360
20230615,000020,318533680,0,-324812900,6279220
20230616,000020,-35145100,1076000,112529710,-78460610
20230619,000020,392534190,-409640,-350808840,-41315710
20230620,000020,242364510,0,-142899960,-99464550
20230621,000020,333831570,0,-227538740,-106292830
20230622,000020,346632370,3002520,-457060130,107425240
20230623,000020,-15094970,-1111820,398695990,-382489200
20230626,000020,-66226600,32630000,42553170,-8956570
