date,us_sp500,us_nasdaq,us_dow,us_sox,us_vix_chg,us_vix_level,fx_krw,kr_vol20,kr_breadth5,kr_ret5,flow_foreign,flow_inst,flow_indiv,result_c2c,result_o2c,result_breadth,us_tnx_level,us_tnx_chg
20230102,-0.2541,-0.1108,-0.2214,-0.112,1.0728,21.67,-1.1033,1.1015,32.63,-4.8472,-13.7812,-37.5528,48.666,-1.5834,-1.7588,20.03,0.388,1.1473
20230103,,,,,,21.67,0.0516,1.1319,35.25,-3.6722,-5.0913,-48.9141,45.9946,0.2276,0.6408,46.39,0.388,
20230104,-0.4001,-0.7596,-0.0328,-1.229,5.676,22.9,0.7288,1.1387,37.29,-3.0477,6.415,-52.7031,40.8819,1.6764,2.4709,76.27,0.379,-2.2171
20230105,0.7539,0.6911,0.4026,2.7377,-3.8865,22.01,0.707,1.1902,38.35,-2.5943,46.4995,-1.3919,-52.1087,0.1737,-0.2412,45.45,0.371,-2.2146
20230106,-1.1646,-1.4679,-1.021,-1.9825,2.0445,22.46,-0.6254,1.1936,40.22,-1.7288,43.7437,-51.0957,5.1605,1.2772,1.7285,71.63,0.372,0.2966
20230109,2.2841,2.5623,2.1273,4.6686,-5.9216,21.13,0.2439,1.2215,51.95,1.7716,31.1273,19.2309,-49.6418,2.0525,1.1758,86.91,0.357,-4.0591
20230110,-0.0768,0.6279,-0.3359,1.9214,3.9754,21.97,-1.6717,1.2815,65.33,5.4075,23.4562,26.8124,-49.7315,0.2048,0.0478,47.97,0.352,-1.457
20230111,0.6978,1.0059,0.5563,1.2856,-6.3268,20.58,-1.0855,1.282,65.65,5.3847,-41.7315,49.6371,-8.6314,1.4326,0.8428,74.47,0.362,2.9571
20230112,1.2849,1.7597,0.7979,1.252,2.4781,21.09,0.071,1.3222,65.29,5.1408,21.0248,29.5547,-49.4205,0.2006,-0.3953,46.36,0.355,-1.8503
20230113,0.3416,0.6351,0.6386,1.2445,-10.716,18.83,0.1161,1.277,65.47,5.1676,48.306,-49.7777,1.9163,0.6543,0.174,52.87,0.345,-2.9544
20230116,0.3997,0.7096,0.3295,0.3947,-2.5491,18.35,-0.1989,1.2851,61.72,4.5447,37.1141,13.1034,-49.7825,0.6531,0.2256,55.0,0.351,1.7976
20230117,,,,,,18.35,-0.205,1.2852,55.33,3.1453,30.6361,21.1732,-48.1908,-0.6004,-0.775,25.47,0.351,
20230118,-0.203,0.144,-1.1421,0.2435,5.5041,19.36,0.3332,1.2923,50.83,2.3402,13.6191,-50.0216,36.3593,-0.0114,-0.2293,37.98,0.354,0.6836
20230119,-1.5563,-1.2447,-1.8103,-0.6415,5.062,20.34,-0.299,1.2189,43.53,0.8962,16.5422,-48.6241,34.8337,0.0869,0.5946,44.27,0.338,-4.5262
20230120,-0.7638,-0.9559,-0.758,-2.8332,0.885,20.52,0.0711,1.2188,43.11,0.7826,50.6247,-33.6835,-15.6918,0.7284,0.814,59.43,0.34,0.6519
20230125,-0.0712,-0.2652,0.3104,-0.7186,-3.0792,19.2,-0.061,1.2154,44.43,0.8568,41.0974,8.8284,-50.0743,1.279,0.5126,66.28,0.347,-1.5887
20230126,-0.0182,-0.1845,0.0293,0.1802,-0.625,19.08,0.275,1.0444,46.68,1.4826,40.7088,9.7092,-49.5819,0.7703,0.5286,64.09,0.346,-0.2018
20230127,1.1008,1.7594,0.6092,1.631,-1.8344,18.73,-0.0057,1.0354,54.41,2.8532,38.0014,12.4362,-49.5624,0.6774,0.2298,58.04,0.349,0.8954
20230130,0.2495,0.9494,0.0844,-0.719,-1.1746,18.51,-0.06,1.0198,58.42,3.5419,42.9214,7.6743,-49.4043,-0.1508,-0.5918,34.32,0.352,0.7157
20230131,-1.2969,-1.961,-0.7681,-2.668,7.7256,19.94,-0.2354,0.9988,56.43,3.3042,0.1675,-46.4125,53.42,0.4589,0.6918,51.51,0.355,0.938
20230201,1.4642,1.6741,1.0942,1.9266,-2.7081,19.4,0.2075,0.8013,54.85,3.0347,-49.7741,13.6477,36.5782,0.626,0.1441,56.11,0.353,-0.6195
20230202,1.0452,2.0007,0.0203,5.1867,-7.8866,17.87,0.0528,0.6414,52.82,2.3818,51.7448,-15.6012,-32.654,1.4362,0.6317,75.51,0.34,-3.7404
20230203,1.4699,3.254,-0.1145,2.2245,4.8125,18.73,-0.8278,0.6582,55.1,3.0477,48.0105,-5.5375,-46.452,0.2464,-0.0752,44.41,0.34,-0.0294
20230206,-1.0355,-1.589,-0.3757,-1.9011,-2.1356,18.33,0.2414,0.623,52.37,2.6167,49.2897,-18.4709,-32.2394,-0.4531,-0.4059,32.95,0.353,4.0047
20230207,-0.614,-0.9953,-0.1031,-1.6992,6.0011,19.43,1.7838,0.6588,52.1,2.3144,-17.5537,-32.7251,49.7213,0.7685,0.8031,54.72,0.363,2.8879
20230208,1.2873,1.904,0.7839,3.1161,-3.9629,18.66,1.1614,0.641,52.74,2.624,29.3984,-45.9977,24.6039,1.0496,0.4179,63.41,0.367,1.1007
20230209,-1.1081,-1.678,-0.608,-2.1932,5.1983,19.63,-0.4662,0.5552,54.2,3.0476,47.5003,4.1967,-48.3031,-0.0651,0.1044,40.08,0.365,-0.5716
20230210,-0.883,-1.0154,-0.7338,0.1306,5.5018,20.71,0.4079,0.5654,47.11,1.5462,34.5733,-48.8681,16.5586,-1.4047,-1.3729,22.85,0.368,0.8212
20230213,0.2195,-0.6061,0.5026,-1.5842,-0.8691,20.53,0.3237,0.6592,42.8,-0.1049,-1.7758,-48.236,49.9882,-0.1886,-0.1927,36.71,0.374,1.6563
20230214,1.1449,1.4821,1.1121,1.5333,-0.9255,20.34,0.1835,0.6689,43.56,0.1596,16.2806,-48.0633,35.6561,0.5372,0.162,52.82,0.372,-0.7212
20230215,-0.028,0.5749,-0.4575,2.1035,-7.0305,18.91,0.4791,0.6665,43.18,-0.0717,17.9053,31.7803,-50.3144,-1.9883,-2.2818,13.68,0.376,1.1837
20230216,0.2773,0.9234,0.1138,0.3665,-3.596,18.23,-0.0542,0.8296,33.23,-3.1096,-10.2673,-39.7869,49.9458,1.5688,1.0858,77.66,0.381,1.2763
