date,time,code,open,high,low,close,volume
20260922,0900,017900,10640.0,10680.0,10060.0,10130.0,874603
20260922,0910,017900,10150.0,10360.0,10090.0,10290.0,413565
20260922,0920,017900,10290.0,10310.0,10190.0,10260.0,203837
20260922,0930,017900,10260.0,10460.0,10240.0,10410.0,213297
20260922,0940,017900,10420.0,10480.0,10390.0,10410.0,164780
20260922,0950,017900,10410.0,10700.0,10410.0,10695.0,227852
20260922,1000,017900,10695.0,10815.0,10490.0,10510.0,260269
20260922,1010,017900,10520.0,10760.0,10500.0,10580.0,159848
20260922,1020,017900,10570.0,10680.0,10510.0,10600.0,121073
20260922,1030,017900,10610.0,10650.0,10510.0,10530.0,87314
20260922,1040,017900,10540.0,10600.0,10540.0,10590.0,44033
20260922,1050,017900,10600.0,10600.0,10520.0,10520.0,73689
20260922,1100,017900,10520.0,10520.0,10460.0,10470.0,66363
20260922,1110,017900,10460.0,10470.0,10350.0,10440.0,97491
20260922,1120,017900,10450.0,10450.0,10380.0,10390.0,44853
20260922,1130,017900,10390.0,10450.0,10380.0,10450.0,21199
20260922,1140,017900,10440.0,10450.0,10370.0,10380.0,42369
20260922,1150,017900,10380.0,10560.0,10360.0,10500.0,57921
20260922,1200,017900,10490.0,10550.0,10410.0,10420.0,28344
20260922,1210,017900,10420.0,10430.0,10360.0,10420.0,40986
20260922,1220,017900,10420.0,10420.0,10390.0,10390.0,18110
20260922,1230,017900,10400.0,10430.0,10370.0,10420.0,34934
20260922,1240,017900,10430.0,10500.0,10400.0,10410.0,46845
20260922,1250,017900,10410.0,10420.0,10390.0,10390.0,29974
20260922,1300,017900,10390.0,10440.0,10380.0,10400.0,37872
20260922,1310,017900,10390.0,10430.0,10390.0,10400.0,34033
20260922,1320,017900,10400.0,10410.0,10370.0,10380.0,36696
20260922,1330,017900,10370.0,10400.0,10360.0,10400.0,43820
20260922,1340,017900,10390.0,10420.0,10340.0,10350.0,40088
20260922,1350,017900,10350.0,10360.0,10250.0,10250.0,62719
20260922,1400,017900,10250.0,10310.0,10170.0,10270.0,87053
20260922,1410,017900,10270.0,10270.0,10210.0,10210.0,42969
20260922,1420,017900,10210.0,10230.0,10200.0,10230.0,23753
20260922,1430,017900,10230.0,10250.0,10200.0,10250.0,18418
20260922,1440,017900,10240.0,10300.0,10240.0,10260.0,29587
20260922,1450,017900,10260.0,10290.0,10250.0,10260.0,20194
20260922,1500,017900,10260.0,10260.0,10210.0,10210.0,39837
20260922,1510,017900,10210.0,10220.0,10190.0,10190.0,49378
20260922,1530,017900,10190.0,10200.0,10180.0,10195.0,5392
20260922,0900,072950,13850.0,13940.0,13280.0,13310.0,137309
20260922,0910,072950,13310.0,13540.0,13300.0,13420.0,70611
20260922,0920,072950,13430.0,13440.0,13320.0,13420.0,47567
20260922,0930,072950,13440.0,13520.0,13360.0,13480.0,27694
20260922,0940,072950,13480.0,13520.0,13410.0,13500.0,16968
20260922,0950,072950,13500.0,13530.0,13300.0,13530.0,42595
20260922,1000,072950,13530.0,13580.0,13440.0,13530.0,21034
20260922,1010,072950,13530.0,13530.0,13380.0,13420.0,13175
20260922,1020,072950,13420.0,13420.0,13360.0,13400.0,14263
20260922,1030,072950,13390.0,13400.0,13310.0,13310.0,12478
20260922,1040,072950,13320.0,13340.0,13310.0,13340.0,13812
20260922,1050,072950,13350.0,13370.0,13300.0,13300.0,13892
20260922,1100,072950,13305.0,13350.0,13260.0,13260.0,24010
20260922,1110,072950,13260.0,13260.0,13100.0,13120.0,51246
20260922,1120,072950,13120.0,13150.0,13070.0,13130.0,26966
20260922,1130,072950,13130.0,13230.0,13120.0,13200.0,14227
20260922,1140,072950,13200.0,13230.0,13150.0,13210.0,9651
20260922,1150,072950,13210.0,13275.0,13210.0,13220.0,11813
20260922,1200,072950,13230.0,13270.0,13220.0,13260.0,7109
20260922,1210,072950,13260.0,13300.0,13200.0,13230.0,13655
20260922,1220,072950,13230.0,13230.0,13200.0,13220.0,3100
20260922,1230,072950,13210.0,13230.0,13190.0,13200.0,4900
20260922,1240,072950,13200.0,13220.0,13190.0,13210.0,3665
20260922,1250,072950,13210.0,13210.0,13140.0,13160.0,7890
20260922,1300,072950,13160.0,13160.0,13100.0,13100.0,11456
20260922,1310,072950,13100.0,13100.0,13070.0,13070.0,14212
20260922,1320,072950,13070.0,13070.0,13020.0,13020.0,20376
20260922,1330,072950,13020.0,13030.0,12900.0,12910.0,36983
20260922,1340,072950,12905.0,12940.0,12900.0,12900.0,11164
20260922,1350,072950,12900.0,12920.0,12810.0,12830.0,33901
20260922,1400,072950,12840.0,12940.0,12830.0,12920.0,11357
20260922,1410,072950,12920.0,12930.0,12800.0,12800.0,17887
20260922,1420,072950,12800.0,12820.0,12730.0,12800.0,23176
20260922,1430,072950,12800.0,12860.0,12780.0,12850.0,5757
20260922,1440,072950,12860.0,12930.0,12850.0,12930.0,17206
20260922,1450,072950,12920.0,12980.0,12920.0,12960.0,5869
20260922,1500,072950,12960.0,13000.0,12960.0,13000.0,11784
20260922,1510,072950,12980.0,13010.0,12980.0,13000.0,6738
20260922,1530,072950,13010.0,13050.0,13000.0,13050.0,2019
20260922,0900,217590,14570.0,14610.0,14200.0,14200.0,120567
20260922,0910,217590,14230.0,14780.0,14200.0,14780.0,125624
20260922,0920,217590,14780.0,14970.0,14560.0,14590.0,98903
20260922,0930,217590,14620.0,14620.0,14390.0,14500.0,57784
20260922,0940,217590,14470.0,14500.0,14410.0,14460.0,21670
20260922,0950,217590,14460.0,14560.0,14450.0,14520.0,20894
20260922,1000,217590,14520.0,14565.0,14440.0,14450.0,16483
20260922,1010,217590,14450.0,14460.0,14380.0,14420.0,22854
20260922,1020,217590,14420.0,14500.0,14410.0,14500.0,10268
20260922,1030,217590,14490.0,14500.0,14420.0,14420.0,10002
20260922,1040,217590,14420.0,14520.0,14390.0,14520.0,13702
20260922,1050,217590,14520.0,14660.0,14490.0,14590.0,17811
20260922,1100,217590,14590.0,14710.0,14560.0,14570.0,29092
20260922,1110,217590,14570.0,14600.0,14480.0,14590.0,11900
20260922,1120,217590,14540.0,14540.0,14450.0,14460.0,7377
20260922,1130,217590,14460.0,14500.0,14440.0,14460.0,5397
20260922,1140,217590,14460.0,14510.0,14460.0,14510.0,3848
20260922,1150,217590,14510.0,14520.0,14490.0,14500.0,1782
20260922,1200,217590,14500.0,14520.0,14450.0,14470.0,5029
20260922,1210,217590,14470.0,14560.0,14470.0,14550.0,5550
20260922,1220,217590,14550.0,14560.0,14470.0,14530.0,13952
20260922,1230,217590,14520.0,14550.0,14510.0,14540.0,8739
20260922,1240,217590,14540.0,14560.0,14510.0,14560.0,4604
20260922,1250,217590,14550.0,14600.0,14530.0,14580.0,11414
20260922,1300,217590,14580.0,14680.0,14570.0,14630.0,19915
20260922,1310,217590,14630.0,14630.0,14460.0,14520.0,18281
20260922,1320,217590,14510.0,14680.0,14500.0,14630.0,25670
20260922,1330,217590,14630.0,14650.0,14560.0,14580.0,9139
20260922,1340,217590,14580.0,14600.0,14510.0,14510.0,11830
20260922,1350,217590,14510.0,14560.0,14500.0,14510.0,8295
20260922,1400,217590,14510.0,14710.0,14490.0,14710.0,38577
20260922,1410,217590,14690.0,14710.0,14570.0,14570.0,28883
20260922,1420,217590,14570.0,14600.0,14520.0,14600.0,19042
20260922,1430,217590,14580.0,14610.0,14550.0,14590.0,13365
20260922,1440,217590,14590.0,14600.0,14530.0,14550.0,11355
20260922,1450,217590,14540.0,14570.0,14520.0,14570.0,11891
20260922,1500,217590,14570.0,14670.0,14550.0,14660.0,24849
20260922,1510,217590,14660.0,14670.0,14620.0,14640.0,18317
20260922,1530,217590,14630.0,14640.0,14610.0,14610.0,2192
20260922,0900,101730,4785.0,4795.0,4705.0,4740.0,61809
20260922,0910,101730,4725.0,4750.0,4705.0,4710.0,19382
20260922,0920,101730,4710.0,4745.0,4700.0,4700.0,13444
20260922,0930,101730,4705.0,4740.0,4690.0,4735.0,10150
20260922,0940,101730,4725.0,4755.0,4720.0,4755.0,8551
20260922,0950,101730,4755.0,4765.0,4730.0,4755.0,3360
20260922,1000,101730,4755.0,4760.0,4730.0,4735.0,3621
20260922,1010,101730,4740.0,4740.0,4715.0,4725.0,5564
20260922,1020,101730,4720.0,4725.0,4715.0,4715.0,5729
20260922,1030,101730,4715.0,4715.0,4710.0,4710.0,3422
20260922,1040,101730,4715.0,4720.0,4715.0,4715.0,3201
20260922,1050,101730,4715.0,4725.0,4705.0,4705.0,8491
20260922,1100,101730,4700.0,4710.0,4685.0,4710.0,8439
20260922,1110,101730,4700.0,4705.0,4690.0,4700.0,3952
20260922,1120,101730,4700.0,4712.0,4685.0,4690.0,5278
20260922,1130,101730,4690.0,4700.0,4685.0,4695.0,6463
20260922,1140,101730,4695.0,4710.0,4695.0,4700.0,2029
20260922,1150,101730,4710.0,4710.0,4685.0,4695.0,2613
20260922,1200,101730,4695.0,4700.0,4690.0,4695.0,1591
20260922,1210,101730,4695.0,4715.0,4695.0,4710.0,3342
20260922,1220,101730,4710.0,4725.0,4705.0,4715.0,1658
20260922,1230,101730,4715.0,4735.0,4695.0,4730.0,9881
20260922,1240,101730,4725.0,4725.0,4695.0,4700.0,888
20260922,1250,101730,4705.0,4710.0,4700.0,4705.0,1856
20260922,1300,101730,4700.0,4710.0,4695.0,4695.0,2346
20260922,1310,101730,4700.0,4700.0,4685.0,4685.0,5030
20260922,1320,101730,4685.0,4690.0,4685.0,4690.0,1816
20260922,1330,101730,4685.0,4685.0,4670.0,4680.0,19985
20260922,1340,101730,4680.0,4680.0,4655.0,4660.0,10383
20260922,1350,101730,4660.0,4665.0,4640.0,4645.0,7760
20260922,1400,101730,4645.0,4655.0,4640.0,4650.0,2294
20260922,1410,101730,4645.0,4650.0,4640.0,4645.0,2830
20260922,1420,101730,4645.0,4645.0,4625.0,4625.0,4741
20260922,1430,101730,4630.0,4630.0,4590.0,4630.0,15651
20260922,1440,101730,4620.0,4625.0,4610.0,4615.0,3164
