date,us_sp500,us_nasdaq,us_dow,us_sox,us_vix_chg,us_vix_level,fx_krw,kr_vol20,kr_breadth5,kr_ret5,flow_foreign,flow_inst,flow_indiv,result_c2c,result_o2c,result_breadth,us_tnx_level,us_tnx_chg
20210203,1.3898,1.5622,1.5741,1.578,-15.4762,25.56,-0.0492,1.5069,40.16,-2.8154,49.7235,-6.2165,-44.06,1.1955,0.4128,61.43,0.111,2.5998
20210204,0.1009,-0.0165,0.1177,-2.1153,-10.3678,22.91,-0.2928,1.5242,46.34,-1.0941,29.1659,-48.6226,22.2115,-0.27,-0.6278,33.89,0.113,2.3529
20210205,1.0853,1.2285,1.0814,0.8566,-4.976,21.77,-0.0413,1.5025,50.54,0.9758,-13.9645,-36.0433,49.9922,0.3965,-0.2665,49.51,0.114,0.7073
20210208,0.3897,0.5702,0.2975,-0.7781,-4.1341,20.87,0.5372,1.5031,58.84,4.7754,27.2884,24.7435,-47.9682,-0.4573,-0.571,34.9,0.117,2.7217
20210209,0.7399,0.9479,0.7625,3.1313,1.7729,21.24,-0.2037,1.4332,50.33,2.3378,-46.4382,29.8099,23.7519,-0.0094,-0.3711,37.62,0.116,-0.8547
20210210,-0.1114,0.1434,-0.0316,-0.4395,1.8362,21.63,-0.0466,1.4336,43.47,0.8554,-50.1737,27.8605,21.9658,0.8653,0.6648,56.08,0.116,-0.2586
20210215,0.4711,0.4969,0.0881,1.227,-6.0235,19.97,-0.1594,1.4177,42.4,0.5252,38.6645,-50.786,10.5496,1.793,0.9647,68.06,0.12,3.6269
20210216,,,,,,19.97,0.1043,1.4542,49.24,2.5881,49.1454,-22.0587,-28.7959,0.638,0.1788,49.58,0.12,
20210217,-0.0569,-0.3403,0.2046,0.5916,7.4612,21.46,-0.1024,1.4441,49.25,2.8296,9.9229,-49.8988,40.1784,0.7038,0.4231,50.8,0.13,8.25
20210218,-0.032,-0.5838,0.2864,-1.8735,0.1864,21.5,0.3829,1.3707,52.43,3.9906,-11.69,-37.9221,50.3878,-0.9111,-1.1881,27.53,0.13,0.154
20210219,-0.4416,-0.717,-0.3786,-0.9895,4.6047,22.49,-0.1726,1.3469,50.41,3.0889,-27.9165,-21.4618,50.6216,-0.4058,-0.2756,33.33,0.129,-1.0761
