date,us_sp500,us_nasdaq,us_dow,us_sox,us_vix_chg,us_vix_level,fx_krw,kr_vol20,kr_breadth5,kr_ret5,flow_foreign,flow_inst,flow_indiv,result_c2c,result_o2c,result_breadth,us_tnx_level,us_tnx_chg
20260102,-0.7358,-0.7562,-0.6281,-1.1992,4.3266,14.95,0.223,0.7781,34.18,-1.4014,-29.5216,-19.9959,50.4825,1.6316,1.2409,60.43,0.416,0.799
20260105,0.1895,-0.0274,0.6639,4.0143,-2.9431,14.51,0.3985,0.8303,42.13,1.4528,48.3911,-9.9645,-41.6443,0.6349,0.2116,49.35,0.419,0.5765
20260106,0.6354,0.6894,1.2294,1.072,2.6878,14.9,-0.2189,0.8209,45.0,2.2812,49.606,-15.8202,-34.5737,-0.2741,-0.5146,37.54,0.416,-0.5254
20260107,0.6197,0.6469,0.99,2.746,-1.0067,14.75,0.3527,0.82,46.4,2.3089,-48.1507,-3.8048,48.0445,-0.9428,-1.2507,22.12,0.418,0.3361
20260108,-0.344,0.1576,-0.9421,-0.9941,4.2712,15.38,-0.0415,0.841,40.95,0.7313,56.3085,-36.6074,-7.0841,-1.216,-1.3556,20.57,0.414,-0.9811
20260109,0.0077,-0.4421,0.5511,-1.832,0.4551,15.45,0.0817,0.8841,38.0,-0.1664,-5.381,-48.9897,45.6293,0.7466,0.4176,55.65,0.418,1.0875
20260112,0.6475,0.8149,0.483,2.7256,-6.2136,14.49,0.2724,0.8999,37.04,-1.0515,-53.9215,39.6275,6.451,1.0094,0.496,55.83,0.417,-0.2869
20260113,0.1578,0.2642,0.174,0.4721,4.3478,15.12,0.3558,0.9248,38.34,-0.677,-69.3195,29.2386,-1.4419,0.3078,-0.2054,42.13,0.419,0.3836
20260114,-0.1939,-0.1013,-0.803,0.9531,5.6878,15.98,0.6659,0.9155,39.26,-0.0951,-28.4677,43.5589,-27.9734,0.0389,-0.2811,43.78,0.417,-0.3821
20260115,-0.5333,-1.0043,-0.0861,-0.6004,4.8185,16.75,0.5516,0.8967,43.59,0.8866,-56.2494,39.8844,-3.8662,0.6738,0.626,51.7,0.414,-0.7432
20260116,0.258,0.2483,0.5958,1.7637,-5.4328,15.84,-0.6863,0.9065,49.82,2.7765,16.7537,31.1824,-52.0638,-0.3387,-0.636,33.27,0.416,0.4831
20260119,-0.0642,-0.0622,-0.1681,1.1498,0.1263,15.86,0.406,0.8215,45.34,1.6912,21.6874,22.5435,-55.7691,0.9303,0.6045,47.53,0.423,1.7067
20260120,,,,,,15.86,0.1865,0.84,43.68,1.6122,44.918,-1.6889,-53.3931,1.4792,1.1327,68.97,0.423,
20260121,-2.0627,-2.386,-1.7641,-1.6805,26.6709,20.09,-0.0041,0.8445,49.05,2.7836,12.6855,-67.9435,19.371,-1.2744,-0.2274,21.24,0.43,1.5126
20260122,1.1588,1.1784,1.214,3.1803,-15.8785,16.9,0.4254,0.8855,44.54,1.4703,34.3141,-50.547,-15.1389,1.3041,0.3797,60.7,0.425,-0.9779
20260123,0.5488,0.9094,0.6251,0.1629,-7.4556,15.64,-0.8763,0.8862,46.34,2.1006,-26.0248,-39.864,34.1112,1.4351,0.8337,69.85,0.425,-0.094
20260126,0.0327,0.2783,-0.5777,-1.2072,2.8772,16.09,-0.1072,0.8672,53.66,3.8743,5.4868,43.6246,-50.8886,1.9941,1.4404,70.35,0.424,-0.2354
20260127,0.5006,0.426,0.6389,-0.3882,0.3729,16.15,-1.2609,0.9337,58.22,4.9381,10.7826,42.7036,-46.5138,0.699,0.6718,50.33,0.421,-0.6134
20260128,0.4082,0.9141,-0.8277,2.3986,1.2384,16.35,-0.2651,0.921,54.49,4.1579,15.2384,36.2649,-48.4967,1.3061,0.5245,54.24,0.422,0.2374
20260129,-0.0082,0.1694,0.0249,2.3353,0.0,16.35,-0.5878,0.9389,61.09,6.7383,28.666,26.8478,-44.4862,1.3519,0.6581,61.23,0.425,0.663
20260130,-0.1293,-0.7223,0.1142,0.1643,3.2416,16.88,-0.2262,0.9375,61.2,6.7861,-38.584,51.1647,-10.2513,-0.8049,-1.0018,27.18,0.423,-0.5646
20260202,-0.4302,-0.9428,-0.365,-3.869,3.3175,17.44,-0.0357,0.9504,52.67,4.5461,-48.991,20.1036,30.9054,-2.8624,-2.1531,11.94,0.424,0.3312
20260203,0.5391,0.5553,1.0537,1.7006,-6.3073,16.34,1.4026,1.1919,40.98,-0.3104,-21.6539,-28.6864,49.6597,3.2604,1.4536,85.26,0.428,0.8017
20260204,-0.8404,-1.4281,-0.3373,-2.0672,10.1591,18.0,0.2581,1.3487,47.97,2.251,7.6143,42.2773,-50.1084,1.4802,1.368,65.99,0.427,-0.0234
20260205,-0.5072,-1.5077,0.5287,-4.358,3.5556,18.64,-0.4034,1.3263,50.32,2.4252,-29.2944,48.0671,-22.6385,-1.7639,-1.4219,23.16,0.428,0.0234
20260206,-1.2251,-1.5892,-1.1971,-0.0593,16.7919,21.77,0.9283,1.3681,42.71,-0.6906,-34.0527,-16.7068,49.2405,-1.3566,0.2909,20.88,0.421,-1.5205
20260209,1.9696,2.1766,2.4678,5.6993,-6.4309,20.37,0.7239,1.4283,41.45,-1.2422,-51.2822,12.4153,36.3025,20.584,1.0093,79.77,0.421,-0.095
20260210,0.4691,0.9008,0.0403,1.4159,-14.7766,17.36,-0.563,4.6204,55.01,22.2042,7.8257,41.7703,-50.4041,0.6772,0.1275,60.14,0.42,-0.1902
20260211,-0.3304,-0.5861,0.1043,-0.6793,2.477,17.79,-0.2639,4.6167,49.99,19.621,-10.1655,44.0235,-45.811,0.4348,-0.0769,49.05,0.415,-1.2149
20260212,-0.0049,-0.1558,-0.133,2.2786,-0.787,17.65,-0.2201,4.6115,46.6,18.5755,26.0609,21.4247,-52.5144,0.6492,0.0288,54.47,0.417,0.6028
20260213,-1.5661,-2.0346,-1.3356,-2.4984,17.9603,20.82,-0.7655,4.6117,52.86,20.9886,33.1898,16.7177,-50.0926,-1.2928,-0.8059,24.52,0.41,-1.6299
