date,code,inst,corp,indiv,foreign
20240102,000020,86601830,55819690,-894262980,751841460
20240103,000020,6363550,42507940,-549044090,500172600
20240104,000020,104637020,220892800,-433881540,108351720
20240105,000020,-19658160,87160840,-112972610,45469930
20240108,000020,581360,33175700,-324514680,290757620
20240109,000020,1853260,85600,-495421620,493482760
20240110,000020,-7053450,-73820,-280324610,287451880
20240111,000020,-3215340,-10470,-106497270,109723080
20240112,000020,504790,57265520,-576689320,518919010
20240115,000020,-150283970,25723340,-140288610,264849240
20240116,000020,-150742490,3004370,-23619660,171357780
20240117,000020,1686820,-308750,196005790,-197383860
20240118,000020,-17069090,59190,238711450,-221701550
20240119,000020,-100766930,-150590,40516740,60400780
20240122,000020,1042620,-9112790,50119870,-42049700
20240123,000020,12226930,-9970,51401450,-63618410
20240124,000020,-62449240,-9900,193454990,-130995850
20240125,000020,-4839530,42591460,49177130,-86929060
20240126,000020,624950,9800,64865660,-65500410
20240129,000020,-3702550,10,93641970,-89939430
20240130,000020,54148000,-9760,4271570,-58409810
20240131,000020,-15809440,-8614850,59856910,-35432620
20240201,000020,65113040,-14333340,-15883890,-34895810
20240202,000020,6071350,-238114670,531538950,-299495630
20240205,000020,-4854700,0,28495200,-23640500
20240206,000020,-1402140,-6320000,-45719430,53441570
20240207,000020,-21143390,-3888000,-3569030,28600420
20240208,000020,5441230,-88958330,133459860,-49942760
20240213,000020,78110630,0,-203984050,125873420
20240214,000020,5438590,146754320,-252481940,100289030
20240215,000020,-28730,7536180,26767640,-34275090
20240216,000020,-106776140,0,-14813900,121590040
20240219,000020,3314400,4995000,-81930030,73620630
20240220,000020,18325450,0,-89884060,71558610
20240221,000020,-238740,-157245550,87903050,69581240
20240222,000020,-87915660,0,151487640,-63571980
20240223,000020,-12932290,310599600,-339591340,41924030
20240226,000020,-217391570,0,54501360,162890210
20240227,000020,-80184070,0,8718550,71465520
20240228,000020,111799520,23745400,-108686600,-26858320
20240229,000020,-149851650,-31782760,17106570,164527840
20240304,000020,39118640,0,-58340530,19221890
20240305,000020,-3550350,-48212750,-47697070,99460170
20240306,000020,-444542510,-36261170,155550870,325252810
20240307,000020,1820360,-233684080,412027600,-180163880
20240308,000020,-76242310,-91012460,203746140,-36491370
20240311,000020,-877600,13423820,-78616460,66070240
20240312,000020,914710,0,-43973530,43058820
20240313,000020,-71220160,-164135430,268149040,-32793450
20240314,000020,-152434960,-104370040,261404730,-4599730
20240315,000020,2930870,-285650790,288762620,-6042700
20240318,000020,-1914960,0,28435520,-26520560
20240319,000020,-428180,1923980,29391420,-30887220
20240320,000020,-17690360,-109964130,88938820,38715670
20240321,000020,34885900,0,9843290,-44729190
20240322,000020,2742900,0,22395300,-25138200
20240325,000020,822290,212547480,-234169510,20799740
20240326,000020,-618520,0,13012690,-12394170
20240327,000020,31070,37950000,81232200,-119213270
20240328,000020,2420260,165904040,-49241240,-119083060
20240329,000020,-9242460,0,42320760,-33078300
20240401,000020,-22226940,113599250,-136431870,45059560
20240402,000020,-22289380,216972000,-52557040,-142125580
20240403,000020,631240,93647640,131751220,-226030100
20240404,000020,-119552710,121294570,194479350,-196221210
20240405,000020,13797390,17233000,-6885120,-24145270
20240408,000020,4642070,-19376540,102436740,-87702270
20240409,000020,1821450,1818910,59808420,-63448780
20240411,000020,9230010,-67067560,197770650,-139933100
20240412,000020,6419310,-20067450,58940240,-45292100
20240415,000020,6786720,19015030,103094690,-128896440
20240416,000020,7203930,-111059160,178079710,-74224480
20240417,000020,10810950,51018890,-80207580,18377740
20240418,000020,-25867470,30057020,-87406600,83217050
20240419,000020,3561320,-84753220,113351420,-32159520
20240422,000020,-2104230,-102689640,55722670,49071200
20240423,000020,17806900,-86734580,185257230,-116329550
20240424,000020,4050380,-13034000,-10960480,19944100
20240425,000020,11210,-8730,-9884990,9882510
20240426,000020,1785870,-590540,82951240,-84146570
20240429,000020,-1570750,33553780,36821400,-68804430
20240430,000020,-11011260,-17501240,34983930,-6471430
20240502,000020,-14020790,-45819990,33556510,26284270
20240503,000020,5095580,-23922230,10246390,8580260
20240507,000020,-13172120,-34594110,69662800,-21896570
20240508,000020,2256630,-79826350,-22114950,99684670
20240509,000020,7801940,-8729570,130047800,-129120170
20240510,000020,4685000,-9946200,38928720,-33667520
20240513,000020,-1794410,-9624060,124345840,-112927370
20240514,000020,-2384720,-19986110,31485210,-9114380
20240516,000020,4294050,-12357820,27525510,-19461740
20240517,000020,1646640,13834470,-23871000,8389890
20240520,000020,48180,8620,31238980,-31295780
20240521,000020,-746130,-7708450,72874190,-64419610
20240522,000020,-129721900,-7451130,182901980,-45728950
20240523,000020,-51051350,-48616470,180041580,-80373760
20240524,000020,-5250930,0,27318360,-22067430
20240527,000020,2890340,-16942870,43951830,-29899300
20240528,000020,651610,-38060400,69817710,-32408920
20240529,000020,-4271780,-15181760,105603550,-86150010
20240530,000020,-537640,8300,38976090,-38446750
20240531,000020,2434550,-605120,18042750,-19872180
20240603,000020,-3093950,-23083670,-37394660,63572280
20240604,000020,-3790780,0,76337670,-72546890
20240605,000020,-116810790,5013860,244731170,-132934240
20240607,000020,-794325480,-1633440,1041342510,-245383590
20240610,000020,-10572760,-373338720,414578280,-30666800
20240611,000020,-324524940,38591330,499461830,-213528220
20240612,000020,-91052470,94438110,182960,-3568600
20240613,000020,219934670,20113810,-121344440,-118704040
20240614,000020,-160357090,66872600,816786480,-723301990
20240617,000020,-350730,-9778920,-7700210,17829860
20240618,000020,-1481260,27902790,313268610,-339690140
20240619,000020,-115605480,0,278132980,-162527500
20240620,000020,-239492730,4073130,212651650,22767950
20240621,000020,-55537900,-8170,95794140,-40248070
20240624,000020,-6130910,13278200,7721490,-14868780
20240625,000020,-50726040,-27635040,242925670,-164564590
20240626,000020,113000,30309940,11570960,-41993900
