date,code,market_cap,volume,trade_value,shares
20210621,000020,405006315000,123450,1786005250,27931470
20210622,000020,403609741500,99679,1443581950,27931470
20210623,000020,406402888500,186682,2714324500,27931470
20210624,000020,430144638000,1999686,30819708400,27931470
20210625,000020,430144638000,378323,5826758050,27931470
20210628,000020,439920652500,404835,6312369350,27931470
20210629,000020,437127505500,413276,6544523700,27931470
20210630,000020,437127505500,153804,2401442450,27931470
20210701,000020,441317226000,268235,4205571050,27931470
20210702,000020,439920652500,266741,4211808800,27931470
20210705,000020,446903520000,698678,11230688950,27931470
20210706,000020,438524079000,284953,4502870000,27931470
20210707,000020,449696667000,645979,10392342900,27931470
20210708,000020,428748064500,483775,7530343000,27931470
20210709,000020,417575476500,342502,5134492300,27931470
20210712,000020,420368623500,160334,2407544150,27931470
20210713,000020,414782329500,184810,2764525650,27931470
20210714,000020,411989182500,118825,1753517100,27931470
20210715,000020,414782329500,149813,2218115100,27931470
20210716,000020,413385756000,169898,2512140650,27931470
20210719,000020,421765197000,206899,3094047800,27931470
20210720,000020,416178903000,107379,1603691300,27931470
20210721,000020,413385756000,94116,1401013300,27931470
20210722,000020,411989182500,109511,1615034350,27931470
20210723,000020,407799462000,107504,1580989550,27931470
20210726,000020,402213168000,192180,2777513750,27931470
20210727,000020,402213168000,96069,1389032400,27931470
20210728,000020,403609741500,94912,1368509000,27931470
20210729,000020,407799462000,83468,1215802250,27931470
20210730,000020,409196035500,115604,1681229200,27931470
20210802,000020,409196035500,86857,1272267150,27931470
20210803,000020,427351491000,487257,7348252900,27931470
20210804,000020,424558344000,162920,2462499150,27931470
20210805,000020,421765197000,133987,2026825600,27931470
20210806,000020,416178903000,132943,1983772600,27931470
20210809,000020,425954917500,451102,6902963700,27931470
20210810,000020,417575476500,196867,2971497000,27931470
20210811,000020,414782329500,187785,2821650050,27931470
20210812,000020,425954917500,308830,4693080050,27931470
20210813,000020,420368623500,347282,5248220450,27931470
20210817,000020,402213168000,305960,4482253700,27931470
20210818,000020,423161770500,862804,13037147550,27931470
20210819,000020,403609741500,307361,4498765650,27931470
20210820,000020,407799462000,363250,5314000450,27931470
20210823,000020,417575476500,167879,2477043800,27931470
20210824,000020,427351491000,447868,6821988300,27931470
20210825,000020,425954917500,210026,3163474500,27931470
20210826,000020,417575476500,183202,2758620250,27931470
20210827,000020,417575476500,216563,3258061150,27931470
20210830,000020,418972050000,163341,2452642550,27931470
20210831,000020,414782329500,188409,2779799300,27931470
20210901,000020,411989182500,138523,2045398050,27931470
20210902,000020,424558344000,245233,3685158400,27931470
20210903,000020,421765197000,316373,4815767800,27931470
20210906,000020,444110373000,1004155,15789661550,27931470
20210907,000020,432937785000,435917,6782206400,27931470
20210908,000020,423161770500,336634,5143979900,27931470
20210909,000020,411989182500,320122,4788993500,27931470
20210910,000020,423161770500,197264,2968453150,27931470
20210913,000020,413385756000,184195,2745167000,27931470
20210914,000020,423161770500,162910,2452273850,27931470
20210915,000020,421765197000,176227,2677904700,27931470
20210916,000020,428748064500,193940,2957942200,27931470
20210917,000020,420368623500,167709,2538920250,27931470
20210923,000020,497180166000,13246110,234216647400,27931470
20210924,000020,501369886500,4045645,70107007500,27931470
20210927,000020,504163033500,2982393,52859404050,27931470
20210928,000020,460869255000,6178907,113019069500,27931470
20210929,000020,518128768500,10756122,197548273850,27931470
20210930,000020,498576739500,16811805,337282193150,27931470
20211001,000020,547456812000,9327484,179242122850,27931470
20211005,000020,470645269500,3099709,55485268300,27931470
20211006,000020,495783592500,11155661,213114454100,27931470
20211007,000020,560025973500,16153551,318608156100,27931470
20211008,000020,540473944500,7895987,159040800400,27931470
20211012,000020,523715062500,2757585,52962017300,27931470
20211013,000020,511145901000,2355082,43457819200,27931470
20211014,000020,530697930000,4740936,89621949850,27931470
20211015,000020,506956180500,1768919,32912401950,27931470
20211018,000020,497180166000,1233996,22285560350,27931470
20211019,000020,481817857500,2080312,36099629000,27931470
20211020,000020,486007578000,817602,14197865600,27931470
20211021,000020,456679534500,1319049,22085963200,27931470
20211022,000020,465058975500,1179936,19887849900,27931470
20211025,000020,451093240500,652936,10625044700,27931470
20211026,000020,458076108000,695326,11503293550,27931470
20211027,000020,458076108000,413391,6864775300,27931470
20211028,000020,473438416500,1431041,24318175800,27931470
20211029,000020,456679534500,744265,12241324900,27931470
20211101,000020,438524079000,945767,15261461700,27931470
20211102,000020,437127505500,408605,6418712450,27931470
20211103,000020,430144638000,486132,7493286100,27931470
20211104,000020,421765197000,611974,9282057150,27931470
20211105,000020,414782329500,434593,6472197000,27931470
20211108,000020,416178903000,1410877,21797610700,27931470
20211109,000020,400816594500,758616,10967295850,27931470
20211110,000020,399420021000,403734,5814194750,27931470
20211111,000020,381264565500,657802,9040960400,27931470
20211112,000020,388247433000,353774,4915618400,27931470
20211115,000020,406402888500,391045,5625059550,27931470
20211116,000020,405006315000,163110,2355000100,27931470
20211117,000020,388247433000,391170,5494978700,27931470
20211118,000020,392437153500,207701,2890703300,27931470
20211119,000020,385454286000,299479,4136594600,27931470
20211122,000020,388247433000,300658,4186148250,27931470
20211123,000020,385454286000,197034,2739342350,27931470
20211124,000020,375678271500,344250,4683118050,27931470
20211125,000020,375678271500,171803,2316598150,27931470
20211126,000020,388247433000,464025,6388361950,27931470
20211129,000020,386850859500,349510,4848049250,27931470
20211130,000020,424558344000,7434103,115164765600,27931470
20211201,000020,416178903000,1782076,27245363050,27931470
20211202,000020,413385756000,1158281,17536792700,27931470
20211203,000020,417575476500,639890,9520063800,27931470
20211206,000020,402213168000,660698,9638138500,27931470
20211207,000020,410592609000,622238,8994256150,27931470
20211208,000020,411989182500,547449,8106482700,27931470
20211209,000020,405006315000,547846,8081742000,27931470
20211210,000020,405006315000,272819,3968842050,27931470
20211213,000020,407799462000,279636,4059645100,27931470
20211214,000020,423161770500,1243597,18685999100,27931470
20211215,000020,438524079000,3007419,47950401950,27931470
20211216,000020,427351491000,710060,10933783250,27931470
20211217,000020,431541211500,859384,13380278500,27931470
20211220,000020,411989182500,641772,9765433450,27931470
20211221,000020,402213168000,462721,6731618600,27931470
20211222,000020,416178903000,1736312,26299118150,27931470
20211223,000020,409196035500,779201,11610811300,27931470
20211224,000020,403609741500,286922,4180222550,27931470
20211227,000020,416178903000,1034047,15480947350,27931470
20211228,000020,405006315000,446260,6527267550,27931470
20211229,000020,411989182500,230891,3397463050,27931470
20211230,000020,407799462000,215195,3151939150,27931470
20210104,000040,105410170700,1151253,1315431990,91661018
20210105,000040,103118645250,1051370,1180910485,91661018
20210106,000040,101285424890,822359,912402720,91661018
20210107,000040,102660340160,831641,928468265,91661018
20210108,000040,102202035070,1513503,1710531680,91661018
20210111,000040,98077289260,1439502,1543820030,91661018
20210112,000040,95327458720,663212,699184475,91661018
20210113,000040,100827119800,803297,860126040,91661018
20210114,000040,98077289260,659911,714542105,91661018
20210115,000040,96702373990,565374,602380920,91661018
20210118,000040,94410848540,1086381,1132486345,91661018
20210119,000040,95327458720,374353,387759960,91661018
20210120,000040,93952543450,860375,885584165,91661018
20210121,000040,93494238360,899324,919576415,91661018
20210122,000040,94410848540,784917,803933130,91661018
20210125,000040,94410848540,1015051,1039596565,91661018
20210126,000040,92119323090,841752,852514845,91661018
20210127,000040,92119323090,711735,713030582,91661018
20210128,000040,88911187460,1301662,1274095634,91661018
20210129,000040,86331356464,2127850,1946879897,96137368
20210201,000040,88157966456,996371,889860247,96137368
20210202,000040,88446378560,607570,559927775,96137368
20210203,000040,90945950128,1496358,1446347099,96137368
20210204,000040,90465263288,510599,478844133,96137368
20210205,000040,84793158576,1654797,1533428238,96137368
20210208,000040,110077286360,10545490,11931764360,96137368
20210209,000040,114403467920,85106419,108702870730,96137368
20210210,000040,108635225840,10444638,11754688125,96137368
20210215,000040,121133083680,47164679,59013514780,96137368
20210216,000040,123055831040,23439969,31017914660,96137368
20210217,000040,124978578400,13300675,16902944110,96137368
20210218,000040,123055831040,4399963,5599022665,96137368
20210219,000040,136995749400,94041048,136444575835,96137368
20210222,000040,135553688880,17948479,26321028290,96137368
20210223,000040,139399183600,11107832,15658982470,96137368
