date,code,name,trade_value,rank
20210131,060310,,0,1
20210131,095570,,0,2
20210131,006840,,0,3
20210131,054620,,0,4
20210131,265520,,0,5
20210131,211270,,0,6
20210131,027410,,0,7
20210131,282330,,0,8
20210131,138930,,0,9
20210131,001460,,0,10
20210131,001465,,0,11
20210131,001040,,0,12
20210131,079160,,0,13
20210131,035760,,0,14
20210131,00104K,,0,15
20210131,000120,,0,16
20210131,011150,,0,17
20210131,011155,,0,18
20210131,001045,,0,19
20210131,097950,,0,20
20210131,097955,,0,21
20210131,051500,,0,22
20210131,058820,,0,23
20210131,023460,,0,24
20210131,065770,,0,25
20210131,083660,,0,26
20210131,000590,,0,27
20210131,012030,,0,28
20210131,367340,,0,29
20210131,016610,,0,30
20210131,005830,,0,31
20210131,000990,,0,32
20210131,000995,,0,33
20210131,139130,,0,34
20210131,001530,,0,35
20210131,000210,,0,36
20210131,000215,,0,37
20210131,375500,,0,38
20210131,37550K,,0,39
20210131,068790,,0,40
20210131,004840,,0,41
20210131,241520,,0,42
20210131,155660,,0,43
20210131,069730,,0,44
20210131,017940,,0,45
20210131,245620,,0,46
20210131,037370,,0,47
20210131,079190,,0,48
20210131,365550,,0,49
20210131,007700,,0,50
20210131,130500,,0,51
20210131,114090,,0,52
20210131,900290,,0,53
20210131,078930,,0,54
20210131,083450,,0,55
20210131,006360,,0,56
20210131,001250,,0,57
20210131,007070,,0,58
20210131,078935,,0,59
20210131,028150,,0,60
20210131,045890,,0,61
20210131,078150,,0,62
20210131,012630,,0,63
20210131,039570,,0,64
20210131,089470,,0,65
20210131,294870,,0,66
20210131,011200,,0,67
20210131,036640,,0,68
20210131,082740,,0,69
20210131,335870,,0,70
20210131,351340,,0,71
20210131,351320,,0,72
20210131,003560,,0,73
20210131,095340,,0,74
20210131,099520,,0,75
20210131,175330,,0,76
20210131,950170,,0,77
20210131,234080,,0,78
20210131,067290,,0,79
20210131,001060,,0,80
20210131,001067,,0,81
20210131,001065,,0,82
20210131,096760,,0,83
20210131,035900,,0,84
20210131,024840,,0,85
20210131,105560,,0,86
20210131,024120,,0,87
20210131,002380,,0,88
20210131,021320,,0,89
20210131,036670,,0,90
20210131,009070,,0,91
20210131,009440,,0,92
20210131,112190,,0,93
20210131,119650,,0,94
20210131,044180,,0,95
20210131,092220,,0,96
20210131,151860,,0,97
20210131,016380,,0,98
20210131,016385,,0,99
20210131,046440,,0,100
20210131,035600,,0,101
20210131,001390,,0,102
20210131,060720,,0,103
20210131,001940,,0,104
20210131,122450,,0,105
20210131,052900,,0,106
20210131,058400,,0,107
20210131,114450,,0,108
20210131,025000,,0,109
20210131,092230,,0,110
20210131,000040,,0,111
20210131,044450,,0,112
20210131,030200,,0,113
20210131,033780,,0,114
20210131,030210,,0,115
20210131,036030,,0,116
20210131,058850,,0,117
20210131,058860,,0,118
20210131,060370,,0,119
20210131,093050,,0,120
20210131,003550,,0,121
20210131,034220,,0,122
20210131,001120,,0,123
20210131,051900,,0,124
20210131,051905,,0,125
20210131,003555,,0,126
20210131,032640,,0,127
20210131,011070,,0,128
20210131,066570,,0,129
20210131,066575,,0,130
20210131,108670,,0,131
20210131,108675,,0,132
20210131,037560,,0,133
20210131,051910,,0,134
20210131,051915,,0,135
20210131,079550,,0,136
20210131,006260,,0,137
20210131,010120,,0,138
20210131,000680,,0,139
20210131,229640,,0,140
20210131,023150,,0,141
20210131,065150,,0,142
20210131,219550,,0,143
20210131,035420,,0,144
20210131,160550,,0,145
20210131,053290,,0,146
20210131,181710,,0,147
20210131,104200,,0,148
20210131,060250,,0,149
20210131,005940,,0,150
20210131,005945,,0,151
20210131,338100,,0,152
20210131,034310,,0,153
20210131,030190,,0,154
20210131,008260,,0,155
20210131,004250,,0,156
20210131,004255,,0,157
20210131,010060,,0,158
20210131,078590,,0,159
20210131,178920,,0,160
20210131,024940,,0,161
20210131,005490,,0,162
20210131,218410,,0,163
20210131,091340,,0,164
20210131,100840,,0,165
20210131,064960,,0,166
20210131,003570,,0,167
20210131,036530,,0,168
20210131,010950,,0,169
20210131,010955,,0,170
20210131,019550,,0,171
20210131,950110,,0,172
20210131,034120,,0,173
20210131,101060,,0,174
20210131,046140,,0,175
20210131,036120,,0,176
20210131,099220,,0,177
20210131,036540,,0,178
20210131,255220,,0,179
20210131,040610,,0,180
20210131,049470,,0,181
20210131,184230,,0,182
20210131,224880,,0,183
20210131,005090,,0,184
20210131,016250,,0,185
20210131,004060,,0,186
20210131,001380,,0,187
20210131,002360,,0,188
20210131,009160,,0,189
20210131,123700,,0,190
20210131,025530,,0,191
20210131,034730,,0,192
20210131,307070,,0,193
20210131,337450,,0,194
20210131,340350,,0,195
20210131,011790,,0,196
20210131,018670,,0,197
20210131,001740,,0,198
20210131,001745,,0,199
20210131,006120,,0,200
