date,ticker,kr_open,kr_mid,kr_close,kr_session_chg,bars
20250101,ES=F,5960.0,,5938.25,-0.3649,7
20250101,NQ=F,21379.25,,21234.25,-0.6782,7
20250102,ES=F,5963.75,,5963.75,0.0,1
20250102,NQ=F,21369.75,,21369.75,0.0,1
20250103,ES=F,5929.25,5931.25,5927.5,-0.0295,14
20250103,NQ=F,21239.0,21248.0,21225.75,-0.0624,14
20250104,ES=F,5962.25,,5985.25,0.3858,7
20250104,NQ=F,21377.5,,21493.0,0.5403,7
20250106,ES=F,5985.5,5984.5,5991.5,0.1002,7
20250106,NQ=F,21495.75,21508.5,21539.0,0.2012,7
20250107,ES=F,6023.5,6020.75,6014.75,-0.1453,14
20250107,NQ=F,21761.5,21747.25,21706.25,-0.2539,14
20250108,ES=F,5962.0,5965.5,5972.0,0.1677,14
20250108,NQ=F,21405.75,21406.0,21430.25,0.1145,14
20250109,ES=F,5946.75,5945.0,5949.0,0.0378,14
20250109,NQ=F,21307.75,21310.75,21323.0,0.0716,14
20250110,ES=F,5922.75,5943.0,5945.75,0.3883,7
20250110,NQ=F,21196.0,21300.75,21301.0,0.4954,7
20250111,ES=F,5871.25,,5861.5,-0.1661,7
20250111,NQ=F,20989.0,,20997.75,0.0417,7
20250113,ES=F,5858.5,5837.5,5839.25,-0.3286,7
20250113,NQ=F,20998.0,20881.0,20887.25,-0.5274,7
20250114,ES=F,5892.5,5887.25,5896.0,0.0594,14
20250114,NQ=F,21053.0,21018.0,21058.0,0.0237,14
20250115,ES=F,5887.0,5883.25,5883.25,-0.0637,14
20250115,NQ=F,20955.0,20935.25,20943.0,-0.0573,14
20250116,ES=F,5997.5,5991.5,5985.5,-0.2001,14
20250116,NQ=F,21425.5,21393.25,21366.75,-0.2742,14
20250117,ES=F,5975.25,5984.5,5986.25,0.1841,14
20250117,NQ=F,21240.25,21281.0,21298.75,0.2754,14
20250118,ES=F,6038.75,,6032.5,-0.1035,7
20250118,NQ=F,21587.5,,21586.25,-0.0058,7
20250120,ES=F,6027.0,6029.75,6032.0,0.083,6
20250120,NQ=F,21557.0,21560.75,21565.25,0.0383,6
20250121,ES=F,6039.0,,6039.0,0.0,1
20250121,NQ=F,21592.0,,21592.0,0.0,1
20250122,ES=F,6101.25,6102.25,6102.75,0.0246,14
20250122,NQ=F,21837.0,21857.25,21858.0,0.0962,14
20250123,ES=F,6116.0,6113.25,6113.75,-0.0368,14
20250123,NQ=F,21951.0,21952.0,21952.75,0.008,14
20250124,ES=F,6146.75,6147.25,6146.0,-0.0122,14
20250124,NQ=F,22008.0,22003.0,21996.0,-0.0545,14
20250125,ES=F,6145.75,,6132.0,-0.2237,7
20250125,NQ=F,21986.5,,21907.75,-0.3582,7
20250127,ES=F,6085.0,6081.5,6060.0,-0.4108,7
20250127,NQ=F,21584.25,21524.5,21432.25,-0.7042,7
20250128,ES=F,6043.75,6043.75,6043.5,-0.0041,14
20250128,NQ=F,21286.0,21289.75,21292.25,0.0294,14
20250129,ES=F,6092.25,6094.25,6094.25,0.0328,14
20250129,NQ=F,21566.25,21583.0,21580.25,0.0649,14
20250130,ES=F,6081.5,6092.5,6090.0,0.1398,14
20250130,NQ=F,21585.25,21673.25,21659.5,0.344,14
20250131,ES=F,6108.5,6111.25,6113.75,0.0859,14
20250131,NQ=F,21709.0,21738.5,21737.25,0.1301,14
20250201,ES=F,6142.5,,6063.0,-1.2943,7
20250201,NQ=F,21937.25,,21571.0,-1.6695,7
20250203,ES=F,5967.25,5948.25,5952.25,-0.2514,7
20250203,NQ=F,21118.75,21035.75,21072.25,-0.2202,7
20250204,ES=F,6050.5,6029.5,6011.25,-0.6487,14
20250204,NQ=F,21549.0,21450.0,21358.25,-0.8852,14
20250205,ES=F,6049.5,6035.75,6033.25,-0.2686,14
20250205,NQ=F,21598.0,21543.0,21539.5,-0.2709,14
20250206,ES=F,6091.5,6094.5,6102.25,0.1765,14
20250206,NQ=F,21774.0,21780.75,21828.5,0.2503,14
20250207,ES=F,6103.25,6102.5,6099.25,-0.0655,14
20250207,NQ=F,21864.5,21872.25,21853.25,-0.0515,14
20250208,ES=F,6075.5,,6050.0,-0.4197,7
20250208,NQ=F,21722.0,,21575.25,-0.6756,7
20250210,ES=F,6069.25,6066.5,6067.5,-0.0288,7
20250210,NQ=F,21699.5,21689.75,21713.75,0.0657,7
