timestamp,mode,code,name,side,qty,price,note,realized_pnl
2026-07-29T12:58:56,real,030200,KT,buy,1,53900.0,수동 테스트 (SOR),
2026-07-30T09:23:22,real,035420,네이버,buy,2,198700.0,체결확인,
2026-07-30T09:23:35,real,402030,코난테크놀로지,buy,8,12290.0,체결확인,
2026-07-30T15:15:15,real,402030,코난테크놀로지,sell,8,13510.0,익절,10000
2026-07-31T09:05:21,real,035420,네이버,sell,2,206000.0,익절,14400
2026-07-31T09:05:34,real,402030,코난테크놀로지,buy,7,13190.0,체결확인,
2026-07-31T09:45:14,real,030200,KT,sell,2,52000.0,손절,-3800
2026-07-31T15:09:16,real,402030,코난테크놀로지,sell,7,13440.0,익절,1890
2026-07-31T15:19:17,real,402030,코난테크놀로지,buy,7,13470.0,체결확인,
2026-08-03T11:12:33,real,402030,코난테크놀로지,sell,7,13800.0,익절,2310
2026-08-04T09:15:08,real,328130,루닛,buy,18,10600.0,체결확인,
2026-08-04T09:15:22,real,420770,기가비스,buy,1,113900.0,체결확인,
2026-08-04T09:25:09,real,328130,루닛,sell,18,10960.0,익절,6480
2026-08-04T09:55:08,real,328130,루닛,buy,18,10680.0,체결확인,
2026-08-04T10:35:07,real,328130,루닛,sell,18,10990.0,익절,5760
2026-08-04T12:05:08,real,328130,루닛,buy,18,10600.0,체결확인,
2026-08-05T09:05:12,real,402030,코난테크놀로지,buy,12,16610.0,체결확인,
2026-08-05T10:45:13,real,402030,코난테크놀로지,sell,12,16010.0,손절,-7130
2026-08-05T10:55:11,real,402030,코난테크놀로지,buy,12,16080.0,체결확인,
2026-08-05T12:25:14,real,402030,코난테크놀로지,sell,12,16540.0,익절,5520
2026-08-05T12:55:09,real,402030,코난테크놀로지,buy,12,16490.0,체결확인,
2026-08-05T15:15:21,real,328130,루닛,sell,18,10740.0,일일 정리,2340
2026-08-05T15:15:26,real,402030,코난테크놀로지,sell,12,16700.0,일일 정리,1320
2026-08-05T15:15:31,real,420770,기가비스,sell,1,116900.0,일일 정리,3000
2026-08-06T09:12:18,real,102940,코오롱생명과학,buy,12,16030.0,체결확인,
2026-08-06T09:22:21,real,069960,현대백화점,buy,1,104900.0,체결확인,
2026-08-06T10:42:12,real,102940,코오롱생명과학,sell,12,15200.0,손절,-10080
2026-08-06T11:42:16,real,102940,코오롱생명과학,buy,12,15500.0,체결확인,
2026-08-06T15:12:22,real,069960,현대백화점,sell,1,105500.0,일일 정리,100
2026-08-06T15:12:27,real,102940,코오롱생명과학,sell,12,15610.0,일일 정리,1200
2026-08-07T10:50:21,real,108860,셀바스AI,buy,18,10590.0,체결확인,
2026-08-07T12:30:30,real,108860,셀바스AI,sell,18,10980.0,익절,7020
2026-08-07T14:00:31,real,108860,셀바스AI,buy,18,10710.0,체결확인,
2026-08-07T15:10:49,real,108860,셀바스AI,sell,18,10610.0,일일 정리,-1980
2026-08-10T09:05:16,real,042700,한미반도체,buy,1,199200.0,체결확인,
2026-08-10T09:05:30,real,304100,솔트룩스,buy,11,17570.0,체결확인,
2026-08-10T12:15:19,real,304100,솔트룩스,sell,11,18230.0,익절,6930
2026-08-10T12:55:13,real,042700,한미반도체,sell,1,205000.0,익절,5500
2026-08-10T13:25:16,real,042700,한미반도체,buy,1,205000.0,체결확인,
2026-08-10T15:15:37,real,042700,한미반도체,sell,1,205500.0,일일 정리,500
2026-08-11T10:25:15,real,304100,솔트룩스,buy,13,17710.0,체결확인 (이익 슬롯),
2026-08-11T10:25:24,real,304100,솔트룩스,buy,8,17790.0,체결확인,
2026-08-11T10:25:31,real,304100,솔트룩스,buy,9,17780.0,체결확인 (이익 슬롯),
2026-08-11T10:50:22,real,304100,솔트룩스,sell,30,16610.0,손절,-35310
2026-08-11T10:59:54,real,108860,셀바스AI,buy,20,10690.0,체결확인 (이익 슬롯),
2026-08-11T11:00:04,real,304100,솔트룩스,buy,9,17350.0,체결확인,
2026-08-11T12:51:03,real,304100,솔트룩스,sell,9,18130.0,익절,6750
2026-08-11T13:11:11,real,304100,솔트룩스,buy,11,17850.0,체결확인,
2026-08-11T13:30:17,real,484810,티엑스알로보틱스,buy,11,16930.0,체결확인,
2026-08-11T13:30:24,real,484810,티엑스알로보틱스,buy,8,16930.0,체결확인,
2026-08-12T09:05:10,real,304100,솔트룩스,buy,11,17470.0,체결확인,
2026-08-12T10:45:14,real,047810,한국항공우주,buy,1,138700.0,체결확인,
2026-08-12T13:45:07,real,304100,솔트룩스,sell,11,18030.0,익절,6050
2026-08-12T15:15:16,real,047810,한국항공우주,sell,1,143900.0,일일 정리,5100
2026-08-12T15:15:20,real,304100,솔트룩스,sell,12,17840.0,일일 정리,-1200
2026-08-13T09:05:14,real,304100,솔트룩스,buy,11,17270.0,체결확인,
2026-08-13T09:35:07,real,328130,루닛,buy,19,10690.0,체결확인,
