timestamp,kosdaq_prsn_ntby_qty,kosdaq_frgn_ntby_qty,kosdaq_orgn_ntby_qty
2026-09-14T13:25:03,4396,-5402,1039
2026-09-14T13:35:04,4621,-5727,970
2026-09-14T13:45:04,4899,-6073,929
2026-09-14T13:55:04,5246,-6378,843
2026-09-14T14:05:04,5442,-6554,774
2026-09-14T14:15:04,5625,-6860,788
2026-09-14T14:25:03,6474,-7888,855
2026-09-14T14:35:04,6363,-7813,815
2026-09-14T14:45:04,6091,-7728,822
2026-09-14T14:55:04,5678,-7645,952
2026-09-14T15:05:08,4941,-7324,1202
2026-09-14T15:15:05,4405,-7063,1303
2026-09-14T15:25:03,3759,-6830,1360
2026-09-15T09:41:19,-346,-386,599
2026-09-15T09:51:14,-186,-724,825
2026-09-15T10:01:15,-993,-310,1121
2026-09-15T10:11:14,-2244,681,1365
2026-09-15T10:21:15,-4477,2538,1789
2026-09-15T10:31:16,-4983,2675,2129
2026-09-15T10:41:15,-5102,2530,2389
2026-09-15T10:51:15,-5331,2503,2661
2026-09-15T11:01:14,-5887,3019,2702
2026-09-15T11:11:15,-6182,3227,2818
2026-09-15T11:21:14,-6279,3223,2904
2026-09-15T11:31:15,-6344,3224,2971
2026-09-15T11:41:14,-6406,3163,3053
2026-09-15T11:51:15,-6147,2810,3131
2026-09-15T12:01:15,-6106,2499,3411
2026-09-15T12:11:15,-7078,3331,3564
2026-09-15T12:21:17,-7669,3852,3640
2026-09-15T12:31:14,-7633,3657,3775
2026-09-15T12:41:18,-7560,3432,3913
2026-09-15T12:51:17,-7222,2918,4084
2026-09-15T13:01:14,-6966,2595,4131
2026-09-15T13:11:17,-7058,2512,4305
2026-09-15T13:21:15,-6956,2262,4428
2026-09-15T13:31:17,-6298,1433,4579
2026-09-15T13:41:15,-6356,1302,4746
2026-09-15T13:51:15,-6649,1427,4972
2026-09-15T14:01:15,-6002,700,5051
2026-09-15T14:11:15,-5387,-242,5167
2026-09-15T14:21:15,-5271,-583,5347
2026-09-15T14:31:17,-5408,-543,5371
2026-09-15T14:41:15,-5483,-330,5274
2026-09-15T14:51:15,-6532,472,5423
2026-09-15T15:01:17,-6761,530,5521
2026-09-15T15:11:18,-6196,-176,5577
2026-09-15T15:21:14,-6756,34,5691
2026-09-16T11:56:37,4252,-3406,-886
2026-09-16T12:06:33,3925,-2994,-1006
2026-09-16T12:16:33,3697,-2719,-1049
2026-09-16T12:26:33,3815,-2824,-1056
2026-09-16T12:36:35,3660,-2682,-1079
2026-09-16T12:46:34,4126,-3141,-1132
2026-09-16T12:56:32,3854,-2848,-1153
2026-09-16T13:06:32,3828,-2813,-1203
2026-09-16T13:16:33,3646,-2673,-1189
2026-09-16T13:26:32,3662,-2744,-1141
2026-09-16T13:36:33,3651,-2726,-1176
2026-09-16T13:46:32,4034,-3178,-1170
2026-09-16T13:56:32,4442,-3548,-1192
2026-09-16T14:06:32,5056,-4076,-1358
2026-09-16T14:16:33,5186,-4163,-1444
2026-09-16T14:26:32,4812,-3698,-1517
2026-09-16T14:36:32,4424,-3338,-1505
2026-09-16T14:46:32,4072,-3023,-1501
2026-09-16T14:56:32,3867,-2865,-1476
2026-09-16T15:06:33,3648,-2743,-1354
2026-09-16T15:16:32,3092,-2310,-1328
2026-09-16T15:26:32,2287,-1694,-1342
2026-09-17T09:05:19,498,-515,10
2026-09-17T09:15:20,1857,-1938,150
2026-09-17T09:25:17,1673,-1712,145
2026-09-17T09:35:18,2566,-2592,140
2026-09-17T09:45:17,3944,-3996,143
2026-09-17T09:55:17,5300,-5385,162
2026-09-17T10:05:17,5280,-5473,206
2026-09-17T10:15:19,4462,-4632,218
2026-09-17T10:25:17,3728,-3950,314
2026-09-17T10:35:17,3224,-3516,368
2026-09-17T10:45:16,3182,-3534,400
2026-09-17T10:55:17,3613,-4026,413
2026-09-17T11:05:16,3635,-4054,436
2026-09-17T11:25:17,4271,-4902,437
2026-09-17T11:35:17,4308,-4996,488
2026-09-17T11:45:16,4401,-5184,549
2026-09-17T11:55:16,4301,-5087,539
2026-09-17T12:05:17,4026,-4819,557
2026-09-17T12:15:22,3696,-4535,590
2026-09-17T12:25:17,3628,-4518,631
2026-09-17T12:35:17,3595,-4509,671
2026-09-17T12:45:15,3310,-4237,688
2026-09-17T12:55:15,3034,-3959,714
2026-09-17T13:05:15,1898,-2947,868
2026-09-17T13:15:21,1786,-2773,897
2026-09-17T13:25:15,1510,-2601,910
2026-09-17T13:35:15,1940,-3060,911
2026-09-17T13:45:16,1734,-2878,891
2026-09-17T13:55:15,1368,-2579,937
2026-09-17T14:05:15,1126,-2399,986
2026-09-17T14:15:15,1143,-2481,1030
2026-09-17T14:25:16,1532,-3018,1063
2026-09-17T14:35:16,1598,-2930,1099
2026-09-17T14:45:17,1495,-3011,1236
2026-09-17T14:55:16,1048,-2783,1408
2026-09-17T15:05:17,933,-2879,1540
2026-09-17T15:15:19,780,-2922,1642
2026-09-17T15:25:15,614,-2920,1694
2026-09-18T09:05:08,-962,1088,-5
2026-09-18T09:15:09,-3097,3393,-61
2026-09-18T09:25:07,-3857,4056,57
2026-09-18T09:35:07,-5962,6134,112
2026-09-18T09:45:07,-5679,5764,171
2026-09-18T09:55:11,-4950,4888,280
2026-09-18T10:05:07,-5110,4764,364
2026-09-18T10:15:07,-4656,4159,521
2026-09-18T10:25:07,-5280,4677,610
2026-09-18T10:35:07,-5975,5285,696
2026-09-18T10:45:11,-7353,6514,819
2026-09-18T10:55:07,-6765,5896,838
2026-09-18T11:05:07,-6730,5737,968
2026-09-18T11:15:07,-6817,5660,1077
2026-09-18T11:25:07,-6475,5196,1181
2026-09-18T11:35:07,-6441,4924,1301
2026-09-18T11:45:07,-7249,5602,1435
2026-09-18T11:55:07,-7631,5835,1576
2026-09-18T12:05:09,-7147,5051,1717
2026-09-18T12:15:07,-6341,4176,1847
2026-09-18T12:25:07,-5424,3203,1862
2026-09-18T12:35:07,-5504,3214,1918
2026-09-18T12:45:07,-5792,3286,2005
2026-09-18T12:55:07,-5911,3261,2092
2026-09-18T13:05:07,-5417,2574,2229
2026-09-18T13:15:07,-5234,2289,2313
