timestamp,kospi,kosdaq
2026-08-28T10:25:10,6846.83,831.90
2026-08-28T10:35:09,6844.95,831.30
2026-08-28T10:45:11,6823.13,830.31
2026-08-28T10:55:11,6831.21,830.78
2026-08-28T11:05:09,6843.91,833.73
2026-08-28T11:15:09,6841.49,834.73
2026-08-28T11:25:09,6844.76,836.39
2026-08-28T11:35:09,6833.51,835.45
2026-08-28T11:45:09,6831.46,834.63
2026-08-28T11:55:09,6830.35,834.31
2026-08-28T12:05:09,6843.84,835.62
2026-08-28T12:15:12,6842.18,836.22
2026-08-28T12:25:09,6838.12,836.09
2026-08-28T12:35:09,6836.97,836.36
2026-08-28T12:45:09,6816.28,835.16
2026-08-28T12:55:09,6844.86,836.71
2026-08-28T13:05:08,6826.11,836.97
2026-08-28T13:15:09,6841.16,837.94
2026-08-28T13:25:09,6834.07,838.13
2026-08-28T13:35:09,6821.94,837.96
2026-08-28T13:45:09,6825.53,839.32
2026-08-28T13:55:08,6824.46,839.99
2026-08-28T14:05:08,6819.15,838.23
2026-08-28T14:15:09,6804.57,835.70
2026-08-28T14:25:08,6801.06,835.73
2026-08-28T14:35:09,6796.10,837.39
2026-08-28T14:45:09,6787.79,834.81
2026-08-28T14:55:12,6791.85,836.06
2026-08-28T15:05:11,6788.37,837.32
2026-08-28T15:15:11,6796.98,838.09
2026-08-31T09:05:17,6558.38,805.43
2026-08-31T09:15:13,6622.07,812.30
2026-08-31T09:25:11,6680.58,816.04
2026-08-31T09:35:09,6701.10,820.53
2026-08-31T09:45:11,6688.21,819.61
2026-08-31T09:55:10,6677.22,816.85
2026-08-31T10:05:12,6621.54,809.96
2026-08-31T10:15:14,6622.72,809.08
2026-08-31T10:25:05,6621.20,807.86
2026-08-31T10:35:04,6642.03,810.90
2026-08-31T10:45:04,6628.20,810.70
2026-08-31T10:55:04,6633.39,810.83
2026-08-31T11:05:04,6655.88,811.78
2026-08-31T11:15:05,6672.48,813.63
2026-08-31T11:25:04,6646.76,810.77
2026-08-31T11:35:05,6643.44,811.79
2026-08-31T11:45:04,6648.16,812.47
2026-08-31T11:55:04,6660.10,814.44
2026-08-31T12:05:04,6688.58,818.36
2026-08-31T12:15:04,6719.94,819.71
2026-08-31T12:25:04,6699.83,818.68
2026-08-31T12:35:04,6690.46,819.62
2026-08-31T12:45:04,6686.52,820.95
2026-08-31T12:55:04,6681.32,820.21
2026-08-31T13:05:06,6673.70,820.26
2026-08-31T13:25:04,6684.93,820.97
2026-08-31T13:34:23,6679.09,820.12
2026-08-31T13:35:04,6678.87,820.11
2026-08-31T13:45:04,6717.90,824.55
2026-08-31T13:55:04,6754.04,828.40
2026-08-31T14:05:04,6764.06,829.20
2026-08-31T14:15:04,6788.16,830.65
2026-08-31T14:25:04,6789.45,830.45
2026-08-31T14:35:05,6772.34,829.03
2026-08-31T14:45:03,6781.65,829.72
2026-08-31T14:55:04,6764.47,830.26
2026-08-31T15:05:05,6765.12,829.95
2026-08-31T15:15:04,6782.83,833.87
2026-09-01T09:05:16,6765.19,828.13
2026-09-01T09:15:09,6735.21,823.09
2026-09-01T09:25:09,6779.18,824.61
2026-09-01T09:35:10,6785.74,821.78
2026-09-01T09:45:10,6817.81,823.17
2026-09-01T09:55:09,6792.66,821.34
2026-09-01T10:05:09,6845.37,826.27
2026-09-01T10:15:09,6819.19,822.90
2026-09-01T10:25:09,6813.34,823.61
2026-09-01T10:35:09,6801.96,820.97
2026-09-01T10:45:09,6826.68,822.05
2026-09-01T10:55:09,6788.45,819.27
2026-09-01T11:05:09,6795.53,819.78
2026-09-01T11:15:09,6800.46,819.85
2026-09-01T11:25:09,6799.79,819.59
2026-09-01T11:35:10,6777.58,817.76
2026-09-01T11:45:09,6764.78,815.98
2026-09-01T11:55:09,6780.79,817.45
2026-09-01T12:05:08,6790.46,818.86
2026-09-01T12:15:04,6794.00,818.85
2026-09-01T12:25:08,6786.28,818.32
