timestamp,mode,code,name,action,reason
2026-09-01T13:55:09,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -15.0%, 저점 3280 대비 반등 +28.8%, 현재가 4225)"
2026-09-01T13:55:10,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -19.7%, 저점 886 대비 반등 +13.1%, 현재가 1002)"
2026-09-01T13:55:12,real,328130,루닛,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 12100 대비 -25.0%, 저점 8810 대비 반등 +3.1%, 현재가 9080)"
2026-09-01T13:55:13,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -26.0%, 저점 14000 대비 반등 +18.4%, 현재가 16570)"
2026-09-01T14:05:05,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T14:05:07,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -15.7%, 저점 3280 대비 반등 +27.7%, 현재가 4190)"
2026-09-01T14:05:08,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -20.3%, 저점 886 대비 반등 +12.3%, 현재가 995)"
2026-09-01T14:05:09,real,328130,루닛,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 8810 대비 +2.8%, 기준 +3.0% 이상 필요)"
2026-09-01T14:05:11,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -26.0%, 저점 14000 대비 반등 +18.4%, 현재가 16580)"
2026-09-01T14:15:05,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T14:15:06,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -18.6%, 저점 3280 대비 반등 +23.3%, 현재가 4045)"
